,ADMP,WNT8A,OTX1B,BMP7A,EVE1,NOG1,GATA2A,NOTO,SP5L,TBX16
,OSR1,BAMBIA,BMP4,CST3,NDR1,FOXD5,HES6,SOX3,WNT11,VENT
5,39,40,38,37,36,47,31,46,30,48
7,7,8,6,5,4,15,14,16,13,12
20,21,22,20,23,24,29,13,19,28,12
35,33,41,25,49,17,57,9,1,34,42
36,1,9,17,25,33,41,49,57,2,10
49,52,53,51,54,60,44,55,59,43,61
53,34,26,42,35,33,43,27,41,25,50
63,55,56,54,53,52,47,63,46,62,64
72,63,64,62,61,60,55,54,56,53,52
89,33,41,25,49,17,57,9,1,34,42
102,47,48,46,45,44,39,55,54,38,56
115,21,22,20,23,24,29,13,19,28,12
120,33,41,25,49,17,57,9,1,34,42
121,29,30,28,31,32,21,37,27,20,36
125,33,41,25,49,17,57,9,1,34,42
128,28,29,27,30,20,36,31,19,35,21
130,41,49,33,57,25,17,9,1,42,34
139,47,48,46,45,44,39,55,54,38,56
145,45,46,44,47,48,37,53,43,36,52
146,37,38,36,39,40,45,29,35,44,28
158,41,49,33,57,25,17,9,1,42,34
159,46,45,47,48,44,38,54,37,53,39
172,60,61,59,62,52,63,51,53,54,64
194,1,9,17,25,33,41,49,57,2,10
226,29,30,28,31,32,21,37,27,20,36
227,21,22,20,23,24,29,13,19,28,12
242,41,49,33,57,25,17,9,1,42,34
258,6,5,7,8,4,14,13,15,16,12
277,33,41,25,49,17,57,9,1,34,42
291,60,61,59,62,52,63,51,53,54,64
301,33,41,25,49,17,57,9,1,34,42
319,54,53,55,56,52,62,46,61,45,63
333,51,52,59,43,50,53,42,58,60,44
337,46,45,47,48,44,38,54,37,53,39
344,7,8,6,5,4,15,14,16,13,12
360,1,9,17,25,33,41,49,57,2,10
366,1,2,3,4,5,6,7,8,9,10
368,53,54,52,55,56,61,45,51,60,44
371,41,49,33,57,25,17,9,1,42,34
372,41,49,33,57,25,17,9,1,42,34
376,1,9,17,25,33,41,49,57,2,10
383,1,2,3,4,5,6,7,8,9,10
394,1,2,3,4,5,6,7,8,9,10
395,1,2,3,4,5,6,7,8,9,10
400,51,52,59,43,50,53,42,58,60,44
409,7,8,6,5,4,15,14,16,13,12
414,7,8,6,5,4,15,14,16,13,12
435,49,41,57,33,25,17,9,1,50,42
438,28,29,27,30,20,36,31,19,35,21
452,46,45,47,48,44,38,54,37,53,39
456,46,45,47,48,44,38,54,37,53,39
459,1,2,3,4,5,6,7,8,9,10
471,6,5,7,8,4,14,13,15,16,12
484,49,41,57,33,25,17,9,1,50,42
495,1,2,3,4,5,6,7,8,9,10
497,41,49,33,57,25,17,9,1,42,34
504,60,61,59,62,52,63,51,53,54,64
506,60,61,59,62,52,63,51,53,54,64
510,7,8,6,5,4,15,14,16,13,12
549,21,22,20,23,24,29,13,19,28,12
594,1,2,3,4,5,6,7,8,9,10
610,46,45,47,48,44,38,54,37,53,39
618,35,36,43,27,34,37,26,42,44,28
627,41,49,33,57,25,17,9,1,42,34
633,21,22,20,23,24,29,13,19,28,12
649,51,52,59,43,50,53,42,58,60,44
667,42,50,34,43,41,51,35,49,33,58
679,1,9,17,25,33,41,49,57,2,10
681,1,2,3,4,5,6,7,8,9,10
683,1,9,17,25,33,41,49,57,2,10
689,1,2,3,4,5,6,7,8,9,10
700,46,45,47,48,44,38,54,37,53,39
715,6,5,7,8,4,14,13,15,16,12
724,1,2,3,4,5,6,7,8,9,10
742,41,49,33,57,25,17,9,1,42,34
744,60,61,59,62,52,63,51,53,54,64
749,3,4,11,2,5,10,12,6,13,18
781,6,5,7,8,4,14,13,15,16,12
793,51,52,59,43,50,53,42,58,60,44
814,1,9,17,25,33,41,49,57,2,10
818,1,2,3,4,5,6,7,8,9,10
823,1,9,17,25,33,41,49,57,2,10
831,1,2,3,4,5,6,7,8,9,10
843,47,48,46,45,44,39,55,54,38,56
849,51,52,59,43,50,53,42,58,60,44
