,ADMP,AXIN2,BMP2B,BMP7A,CST3,NDR1,FOXD5,HES6,SOX3,TA
,OSR1,VOX,BMP4,OTX1A,EVE1,NOG1,GATA2A,NOTO,SP5L,VENT
12,60,61,59,62,52,63,51,53,54,64
26,42,50,34,43,41,51,35,49,33,58
45,33,41,25,49,17,57,9,1,34,42
51,60,61,59,62,52,63,51,53,54,64
67,1,2,3,4,5,6,7,8,9,10
73,52,53,51,54,60,44,55,59,43,61
77,1,2,3,4,5,6,7,8,9,10
85,42,50,34,43,41,51,35,49,33,58
101,61,62,60,63,64,53,59,52,54,55
103,60,61,59,62,52,63,51,53,54,64
105,49,41,57,33,25,17,9,1,50,42
107,51,52,59,43,50,53,42,58,60,44
132,59,60,51,58,61,50,52,62,53,42
136,43,44,35,51,42,45,50,34,36,52
141,44,45,43,46,36,52,47,35,51,37
166,1,2,3,4,5,6,7,8,9,10
168,11,12,3,19,10,13,18,2,4,20
170,36,37,35,38,44,28,39,43,27,45
180,21,22,20,23,24,29,13,19,28,12
182,60,61,59,62,52,63,51,53,54,64
197,44,45,43,46,36,52,47,35,51,37
211,49,41,57,33,25,17,9,1,50,42
214,11,12,3,19,10,13,18,2,4,20
219,34,26,42,35,33,43,27,41,25,50
235,1,9,17,25,33,41,49,57,2,10
239,1,9,17,25,33,41,49,57,2,10
245,53,54,52,55,56,61,45,51,60,44
247,1,9,17,25,33,41,49,57,2,10
257,44,45,43,46,36,52,47,35,51,37
260,6,5,7,8,4,14,13,15,16,12
268,44,45,43,46,36,52,47,35,51,37
270,51,52,59,43,50,53,42,58,60,44
279,20,21,19,22,28,12,23,27,11,29
315,45,46,44,47,48,37,53,43,36,52
322,51,52,59,43,50,53,42,58,60,44
331,1,2,3,4,5,6,7,8,9,10
338,29,30,28,31,32,21,37,27,20,36
350,21,22,20,23,24,29,13,19,28,12
403,39,40,38,37,36,47,31,46,30,48
405,1,9,17,25,33,41,49,57,2,10
411,49,41,57,33,25,17,9,1,50,42
415,44,45,43,46,36,52,47,35,51,37
421,21,22,20,23,24,29,13,19,28,12
427,21,22,20,23,24,29,13,19,28,12
447,47,48,46,45,44,39,55,54,38,56
465,60,61,59,62,52,63,51,53,54,64
475,25,33,17,9,41,49,1,57,26,18
480,1,9,17,25,33,41,49,57,2,10
481,49,41,57,33,25,17,9,1,50,42
486,41,49,33,57,25,17,9,1,42,34
531,44,45,43,46,36,52,47,35,51,37
543,7,8,6,5,4,15,14,16,13,12
551,21,22,20,23,24,29,13,19,28,12
554,3,4,11,2,5,10,12,6,13,18
561,1,9,17,25,33,41,49,57,2,10
572,4,5,3,6,12,7,11,13,14,8
584,4,5,3,6,12,7,11,13,14,8
593,1,2,3,4,5,6,7,8,9,10
601,1,2,3,4,5,6,7,8,9,10
612,6,5,7,8,4,14,13,15,16,12
614,45,46,44,47,48,37,53,43,36,52
615,39,40,38,37,36,47,31,46,30,48
623,29,30,28,31,32,21,37,27,20,36
628,5,6,4,7,8,13,3,12,14,15
640,1,9,17,25,33,41,49,57,2,10
641,49,41,57,33,25,17,9,1,50,42
650,3,4,11,2,5,10,12,6,13,18
656,51,52,59,43,50,53,42,58,60,44
664,60,61,59,62,52,63,51,53,54,64
675,45,46,44,47,48,37,53,43,36,52
684,6,5,7,8,4,14,13,15,16,12
691,41,49,33,57,25,17,9,1,42,34
695,27,28,19,35,26,29,18,34,20,36
709,3,4,11,2,5,10,12,6,13,18
716,1,9,17,25,33,41,49,57,2,10
722,1,9,17,25,33,41,49,57,2,10
733,6,5,7,8,4,14,13,15,16,12
748,52,53,51,54,60,44,55,59,43,61
769,7,8,6,5,4,15,14,16,13,12
772,1,9,17,25,33,41,49,57,2,10
779,43,44,35,51,42,45,50,34,36,52
829,41,49,33,57,25,17,9,1,42,34
832,45,46,44,47,48,37,53,43,36,52
842,60,61,59,62,52,63,51,53,54,64
