,ADMP,AXIN2,ID3,BMP7A,EVE1,NOG1,GATA2A,NOTO,SP5L,TBX16
,OSR1,VOX,BMP4,CST3,NDR1,FOXD5,HES6,SOX3,TA,VENT
14,39,40,38,37,36,47,31,46,30,48
15,34,26,42,35,33,43,27,41,25,50
21,49,41,57,33,25,17,9,1,50,42
39,52,53,51,54,60,44,55,59,43,61
42,33,41,25,49,17,57,9,1,34,42
57,1,9,17,25,33,41,49,57,2,10
62,41,49,33,57,25,17,9,1,42,34
66,33,41,25,49,17,57,9,1,34,42
68,33,41,25,49,17,57,9,1,34,42
99,20,21,19,22,28,12,23,27,11,29
109,36,37,35,38,44,28,39,43,27,45
129,41,49,33,57,25,17,9,1,42,34
140,35,36,43,27,34,37,26,42,44,28
142,1,2,3,4,5,6,7,8,9,10
147,59,60,51,58,61,50,52,62,53,42
171,49,41,57,33,25,17,9,1,50,42
175,51,52,59,43,50,53,42,58,60,44
188,59,60,51,58,61,50,52,62,53,42
189,51,52,59,43,50,53,42,58,60,44
192,6,5,7,8,4,14,13,15,16,12
228,49,41,57,33,25,17,9,1,50,42
237,34,26,42,35,33,43,27,41,25,50
243,5,6,4,7,8,13,3,12,14,15
249,49,41,57,33,25,17,9,1,50,42
250,39,40,38,37,36,47,31,46,30,48
253,41,49,33,57,25,17,9,1,42,34
256,49,41,57,33,25,17,9,1,50,42
281,41,49,33,57,25,17,9,1,42,34
300,59,60,51,58,61,50,52,62,53,42
307,6,5,7,8,4,14,13,15,16,12
311,29,30,28,31,32,21,37,27,20,36
312,49,41,57,33,25,17,9,1,50,42
324,1,2,3,4,5,6,7,8,9,10
332,21,22,20,23,24,29,13,19,28,12
353,6,5,7,8,4,14,13,15,16,12
355,33,41,25,49,17,57,9,1,34,42
364,1,2,3,4,5,6,7,8,9,10
379,39,40,38,37,36,47,31,46,30,48
387,49,41,57,33,25,17,9,1,50,42
428,49,41,57,33,25,17,9,1,50,42
431,51,52,59,43,50,53,42,58,60,44
436,53,54,52,55,56,61,45,51,60,44
439,49,41,57,33,25,17,9,1,50,42
448,6,5,7,8,4,14,13,15,16,12
457,41,49,33,57,25,17,9,1,42,34
487,51,52,59,43,50,53,42,58,60,44
492,35,36,43,27,34,37,26,42,44,28
502,49,41,57,33,25,17,9,1,50,42
503,49,41,57,33,25,17,9,1,50,42
512,33,41,25,49,17,57,9,1,34,42
517,59,60,51,58,61,50,52,62,53,42
542,6,5,7,8,4,14,13,15,16,12
557,34,26,42,35,33,43,27,41,25,50
567,33,41,25,49,17,57,9,1,34,42
568,6,5,7,8,4,14,13,15,16,12
581,5,6,4,7,8,13,3,12,14,15
585,6,5,7,8,4,14,13,15,16,12
589,1,2,3,4,5,6,7,8,9,10
597,33,41,25,49,17,57,9,1,34,42
606,51,52,59,43,50,53,42,58,60,44
609,1,9,17,25,33,41,49,57,2,10
611,4,5,3,6,12,7,11,13,14,8
634,59,60,51,58,61,50,52,62,53,42
655,63,64,62,61,60,55,54,56,53,52
670,41,49,33,57,25,17,9,1,42,34
674,21,22,20,23,24,29,13,19,28,12
676,7,8,6,5,4,15,14,16,13,12
678,47,48,46,45,44,39,55,54,38,56
688,21,22,20,23,24,29,13,19,28,12
714,59,60,51,58,61,50,52,62,53,42
725,62,61,63,64,60,54,53,55,56,52
728,21,22,20,23,24,29,13,19,28,12
729,35,36,43,27,34,37,26,42,44,28
731,33,41,25,49,17,57,9,1,34,42
763,6,5,7,8,4,14,13,15,16,12
774,61,62,60,63,64,53,59,52,54,55
778,21,22,20,23,24,29,13,19,28,12
783,11,12,3,19,10,13,18,2,4,20
796,37,38,36,39,40,45,29,35,44,28
800,49,41,57,33,25,17,9,1,50,42
802,21,22,20,23,24,29,13,19,28,12
815,5,6,4,7,8,13,3,12,14,15
819,3,4,11,2,5,10,12,6,13,18
821,21,22,20,23,24,29,13,19,28,12
833,35,36,43,27,34,37,26,42,44,28
