,ADMP,WNT8A,BMP2B,BMP7A,CST3,LHX1A,FOXD5,HES6,SOX3,TA
,MIXL1,VOX,BMP4,OTX1A,EVE1,NOG1,GATA2A,NOTO,SP5L,VENT
6,47,48,46,45,44,39,55,54,38,56
13,6,5,7,8,4,14,13,15,16,12
18,49,41,57,33,25,17,9,1,50,42
61,41,49,33,57,25,17,9,1,42,34
70,42,50,34,43,41,51,35,49,33,58
80,39,40,38,37,36,47,31,46,30,48
81,61,62,60,63,64,53,59,52,54,55
144,44,45,43,46,36,52,47,35,51,37
154,52,53,51,54,60,44,55,59,43,61
169,49,41,57,33,25,17,9,1,50,42
178,52,53,51,54,60,44,55,59,43,61
185,28,29,27,30,20,36,31,19,35,21
186,3,4,11,2,5,10,12,6,13,18
190,52,53,51,54,60,44,55,59,43,61
196,7,8,6,5,4,15,14,16,13,12
207,44,45,43,46,36,52,47,35,51,37
212,44,45,43,46,36,52,47,35,51,37
220,52,53,51,54,60,44,55,59,43,61
240,52,53,51,54,60,44,55,59,43,61
241,41,49,33,57,25,17,9,1,42,34
244,49,41,57,33,25,17,9,1,50,42
266,28,29,27,30,20,36,31,19,35,21
273,41,49,33,57,25,17,9,1,42,34
274,45,46,44,47,48,37,53,43,36,52
285,45,46,44,47,48,37,53,43,36,52
299,34,26,42,35,33,43,27,41,25,50
303,33,41,25,49,17,57,9,1,34,42
304,51,52,59,43,50,53,42,58,60,44
309,21,22,20,23,24,29,13,19,28,12
314,3,4,11,2,5,10,12,6,13,18
316,39,40,38,37,36,47,31,46,30,48
323,28,29,27,30,20,36,31,19,35,21
339,1,9,17,25,33,41,49,57,2,10
351,49,41,57,33,25,17,9,1,50,42
357,49,41,57,33,25,17,9,1,50,42
359,41,49,33,57,25,17,9,1,42,34
362,21,22,20,23,24,29,13,19,28,12
365,49,41,57,33,25,17,9,1,50,42
370,29,30,28,31,32,21,37,27,20,36
382,41,49,33,57,25,17,9,1,42,34
393,41,49,33,57,25,17,9,1,42,34
404,52,53,51,54,60,44,55,59,43,61
455,42,50,34,43,41,51,35,49,33,58
466,49,41,57,33,25,17,9,1,50,42
472,29,30,28,31,32,21,37,27,20,36
479,1,9,17,25,33,41,49,57,2,10
485,52,53,51,54,60,44,55,59,43,61
500,33,41,25,49,17,57,9,1,34,42
511,29,30,28,31,32,21,37,27,20,36
516,43,44,35,51,42,45,50,34,36,52
521,11,12,3,19,10,13,18,2,4,20
523,52,53,51,54,60,44,55,59,43,61
527,49,41,57,33,25,17,9,1,50,42
536,52,53,51,54,60,44,55,59,43,61
537,5,6,4,7,8,13,3,12,14,15
558,33,41,25,49,17,57,9,1,34,42
566,21,22,20,23,24,29,13,19,28,12
583,7,8,6,5,4,15,14,16,13,12
596,43,44,35,51,42,45,50,34,36,52
608,1,9,17,25,33,41,49,57,2,10
613,51,52,59,43,50,53,42,58,60,44
631,5,6,4,7,8,13,3,12,14,15
647,7,8,6,5,4,15,14,16,13,12
654,33,41,25,49,17,57,9,1,34,42
682,51,52,59,43,50,53,42,58,60,44
687,5,6,4,7,8,13,3,12,14,15
690,39,40,38,37,36,47,31,46,30,48
705,52,53,51,54,60,44,55,59,43,61
718,37,38,36,39,40,45,29,35,44,28
735,11,12,3,19,10,13,18,2,4,20
740,7,8,6,5,4,15,14,16,13,12
745,21,22,20,23,24,29,13,19,28,12
752,1,9,17,25,33,41,49,57,2,10
753,44,45,43,46,36,52,47,35,51,37
755,45,46,44,47,48,37,53,43,36,52
757,43,44,35,51,42,45,50,34,36,52
758,49,41,57,33,25,17,9,1,50,42
759,42,50,34,43,41,51,35,49,33,58
782,63,64,62,61,60,55,54,56,53,52
788,49,41,57,33,25,17,9,1,50,42
798,49,41,57,33,25,17,9,1,50,42
805,21,22,20,23,24,29,13,19,28,12
812,21,22,20,23,24,29,13,19,28,12
828,51,52,59,43,50,53,42,58,60,44
841,21,22,20,23,24,29,13,19,28,12
