,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
5,7,8,6,5,4,15,14,16,13,12
7,7,8,6,5,4,15,14,16,13,12
20,21,22,20,23,24,29,13,19,28,12
35,37,38,36,39,40,45,29,35,44,28
36,20,21,19,22,28,12,23,27,11,29
49,52,53,51,54,60,44,55,59,43,61
53,34,26,42,35,33,43,27,41,25,50
63,63,64,62,61,60,55,54,56,53,52
72,64,63,62,61,56,55,54,60,53,52
89,33,41,25,49,17,57,9,1,34,42
102,47,48,46,45,44,39,55,54,38,56
115,35,36,43,27,34,37,26,42,44,28
120,33,41,25,49,17,57,9,1,34,42
121,8,7,6,5,16,15,14,4,13,12
125,50,42,58,51,49,43,59,41,57,34
128,35,36,43,27,34,37,26,42,44,28
130,50,42,58,51,49,43,59,41,57,34
139,7,8,6,5,4,15,14,16,13,12
145,49,41,57,33,25,17,9,1,50,42
146,1,9,17,25,33,41,49,57,2,10
158,63,64,62,61,60,55,54,56,53,52
159,31,32,30,29,28,23,39,22,38,24
172,52,53,51,54,60,44,55,59,43,61
194,17,9,25,1,33,41,49,57,18,10
226,21,22,20,23,24,29,13,19,28,12
227,21,22,20,23,24,29,13,19,28,12
242,41,49,33,57,25,17,9,1,42,34
258,22,21,23,24,20,30,14,29,13,31
277,50,42,58,51,49,43,59,41,57,34
291,52,53,51,54,60,44,55,59,43,61
301,30,29,31,32,28,38,22,21,37,39
319,53,54,52,55,56,61,45,51,60,44
333,1,2,3,4,5,6,7,8,9,10
337,45,46,44,47,48,37,53,43,36,52
344,7,8,6,5,4,15,14,16,13,12
360,17,9,25,1,33,41,49,57,18,10
366,50,42,58,51,49,43,59,41,57,34
368,52,53,51,54,60,44,55,59,43,61
371,50,42,58,51,49,43,59,41,57,34
372,41,49,33,57,25,17,9,1,42,34
376,17,9,25,1,33,41,49,57,18,10
383,41,49,33,57,25,17,9,1,42,34
394,1,2,3,4,5,6,7,8,9,10
395,33,41,25,49,17,57,9,1,34,42
400,49,41,57,33,25,17,9,1,50,42
409,7,8,6,5,4,15,14,16,13,12
414,7,8,6,5,4,15,14,16,13,12
435,34,26,42,35,33,43,27,41,25,50
438,28,29,27,30,20,36,31,19,35,21
452,36,37,35,38,44,28,39,43,27,45
456,48,47,46,45,40,56,39,55,38,54
459,1,2,3,4,5,6,7,8,9,10
471,21,22,20,23,24,29,13,19,28,12
484,49,41,57,33,25,17,9,1,50,42
495,1,2,3,4,5,6,7,8,9,10
497,41,49,33,57,25,17,9,1,42,34
504,52,53,51,54,60,44,55,59,43,61
506,1,2,3,4,5,6,7,8,9,10
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,50,42,58,51,49,43,59,41,57,34
610,7,8,6,5,4,15,14,16,13,12
618,4,5,3,6,12,7,11,13,14,8
627,28,29,27,30,20,36,31,19,35,21
633,7,8,6,5,4,15,14,16,13,12
649,49,41,57,33,25,17,9,1,50,42
667,21,22,20,23,24,29,13,19,28,12
679,41,49,33,57,25,17,9,1,42,34
681,21,22,20,23,24,29,13,19,28,12
683,17,9,25,1,33,41,49,57,18,10
689,7,8,6,5,4,15,14,16,13,12
700,8,7,6,5,16,15,14,4,13,12
715,21,22,20,23,24,29,13,19,28,12
724,43,44,35,51,42,45,50,34,36,52
742,41,49,33,57,25,17,9,1,42,34
744,52,53,51,54,60,44,55,59,43,61
749,4,5,3,6,12,7,11,13,14,8
781,21,22,20,23,24,29,13,19,28,12
793,1,2,3,4,5,6,7,8,9,10
814,27,28,19,35,26,29,18,34,20,36
818,21,22,20,23,24,29,13,19,28,12
823,17,9,25,1,33,41,49,57,18,10
831,1,9,17,25,33,41,49,57,2,10
843,48,47,46,45,40,56,39,55,38,54
849,1,2,3,4,5,6,7,8,9,10
