,ADMP,BMP2B,CHD,NOG1,GATA2A,ID3,NDR1,OTX1A,SOX3,TBX16
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NDR2,OTX1B,SP5L,VENT
,AXIN2,BMP7A,EVE1,FOXD5,HER1,LFT2,NOTO,SEBOX,SZL,WNT8A
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,MIXL1,OSR1,SNAI1A,TA,WNT11
1,7,8,6,5,4,15,14,16,13,12
2,19,20,27,11,18,21,10,26,28,12
3,43,44,35,51,42,45,50,34,36,52
4,40,39,38,37,48,32,47,31,46,30
5,8,7,6,5,16,15,14,4,13,12
6,40,39,38,37,48,32,47,31,46,30
7,7,8,6,5,4,15,14,16,13,12
8,1,9,17,25,33,41,49,57,2,10
9,33,41,25,49,17,57,9,1,34,42
10,41,49,33,57,25,17,9,1,42,34
11,41,49,33,57,25,17,9,1,42,34
12,41,49,33,57,25,17,9,1,42,34
13,5,6,4,7,8,13,3,12,14,15
14,39,40,38,37,36,47,31,46,30,48
15,49,41,57,33,25,17,9,1,50,42
16,50,42,58,51,49,43,59,41,57,34
17,3,4,11,2,5,10,12,6,13,18
18,41,49,33,57,25,17,9,1,42,34
19,17,9,25,1,33,41,49,57,18,10
20,21,22,20,23,24,29,13,19,28,12
21,41,49,33,57,25,17,9,1,42,34
22,17,9,25,1,33,41,49,57,18,10
23,28,29,27,30,20,36,31,19,35,21
24,50,42,58,51,49,43,59,41,57,34
25,49,41,57,33,25,17,9,1,50,42
26,50,42,58,51,49,43,59,41,57,34
27,21,22,20,23,24,29,13,19,28,12
28,21,22,20,23,24,29,13,19,28,12
29,1,9,17,25,33,41,49,57,2,10
30,41,49,33,57,25,17,9,1,42,34
31,41,49,33,57,25,17,9,1,42,34
32,17,9,25,1,33,41,49,57,18,10
33,28,29,27,30,20,36,31,19,35,21
34,33,41,25,49,17,57,9,1,34,42
35,33,41,25,49,17,57,9,1,34,42
36,20,21,19,22,28,12,23,27,11,29
37,28,29,27,30,20,36,31,19,35,21
38,21,22,20,23,24,29,13,19,28,12
39,50,42,58,51,49,43,59,41,57,34
40,49,41,57,33,25,17,9,1,50,42
41,28,29,27,30,20,36,31,19,35,21
42,1,9,17,25,33,41,49,57,2,10
43,41,49,33,57,25,17,9,1,42,34
44,41,49,33,57,25,17,9,1,42,34
45,41,49,33,57,25,17,9,1,42,34
46,49,41,57,33,25,17,9,1,50,42
47,49,41,57,33,25,17,9,1,50,42
48,41,49,33,57,25,17,9,1,42,34
49,41,49,33,57,25,17,9,1,42,34
50,7,8,6,5,4,15,14,16,13,12
51,49,41,57,33,25,17,9,1,50,42
52,50,42,58,51,49,43,59,41,57,34
53,17,9,25,1,33,41,49,57,18,10
54,41,49,33,57,25,17,9,1,42,34
55,1,2,3,4,5,6,7,8,9,10
56,1,9,17,25,33,41,49,57,2,10
57,17,9,25,1,33,41,49,57,18,10
58,17,9,25,1,33,41,49,57,18,10
59,17,9,25,1,33,41,49,57,18,10
60,41,49,33,57,25,17,9,1,42,34
61,39,40,38,37,36,47,31,46,30,48
62,41,49,33,57,25,17,9,1,42,34
63,63,64,62,61,60,55,54,56,53,52
64,3,4,11,2,5,10,12,6,13,18
65,41,49,33,57,25,17,9,1,42,34
66,50,42,58,51,49,43,59,41,57,34
67,1,2,3,4,5,6,7,8,9,10
68,49,41,57,33,25,17,9,1,50,42
69,36,37,35,38,44,28,39,43,27,45
70,41,49,33,57,25,17,9,1,42,34
71,41,49,33,57,25,17,9,1,42,34
