,"ADMP","BMP4","BMP7A","CDX4","CHD","CST3","EVE1","FOXB1A","FOXD3","GATA2A"
,"GSC","LHX1A","MIXL1","OSR1","OTX1A","OTX1B","SOX3","SP5L","SZL","TA"
10,41,25,17,33,49,9,57,28,1,29
30,41,49,33,25,17,9,57,1,10,2
37,41,49,33,25,17,57,9,28,1,20
40,41,49,33,28,25,57,17,29,20,9
41,41,49,21,25,29,33,30,17,28,22
47,41,49,57,33,21,22,30,25,29,28
50,30,22,23,21,15,31,29,7,24,14
79,41,49,33,25,17,57,9,1,18,12
97,41,33,49,9,17,25,1,57,12,3
123,41,49,33,25,17,57,9,1,28,19
137,41,49,33,57,25,17,9,52,51,44
156,41,49,33,57,25,17,9,28,35,36
160,41,49,33,25,57,17,9,42,50,34
167,17,25,9,33,41,49,1,57,18,22
173,14,6,15,7,13,23,5,22,16,8
183,22,21,23,30,14,15,6,29,7,13
184,41,49,33,25,17,57,9,1,18,26
199,23,22,30,15,49,21,31,24,7,41
202,41,49,33,25,57,17,9,28,36,1
203,41,49,33,57,25,23,30,22,21,17
210,41,49,33,57,25,17,9,35,43,42
225,41,49,33,57,25,17,42,36,50,34
229,17,9,25,1,33,41,49,57,10,18
230,17,25,33,9,41,49,28,20,1,19
233,22,23,21,49,14,15,41,7,6,30
248,25,17,41,33,49,9,57,1,29,28
262,41,49,33,25,57,17,9,1,27,35
263,9,17,41,1,25,49,33,12,4,57
271,41,49,33,57,25,17,9,1,42,50
289,25,17,41,33,49,9,57,1,28,27
308,49,41,57,33,29,37,30,25,54,21
320,41,49,36,33,57,35,25,43,42,17
321,41,49,33,57,25,17,42,9,50,34
326,17,25,21,41,29,28,33,30,49,9
334,23,15,22,7,31,24,30,16,14,32
347,41,49,33,57,25,17,9,42,50,34
361,56,55,63,54,64,62,61,53,24,23
388,17,25,9,33,41,49,28,1,20,57
406,41,49,33,57,25,17,51,52,44,43
410,41,25,17,33,49,9,57,1,28,20
417,41,49,33,25,57,17,9,1,28,26
422,41,49,33,57,25,17,51,52,59,9
444,21,30,22,23,29,15,31,7,24,14
445,25,17,41,33,49,9,57,28,1,19
446,23,22,15,31,30,7,24,21,16,32
458,25,17,33,41,9,49,1,57,28,19
460,41,49,33,52,57,51,59,43,25,35
469,17,25,33,9,41,49,1,57,18,26
498,41,49,33,57,25,17,28,9,36,20
501,17,9,25,41,33,1,49,12,57,4
508,41,49,33,25,57,17,9,1,34,42
515,25,17,41,33,49,9,57,1,28,19
520,17,25,9,33,41,1,49,18,57,26
522,25,17,41,33,49,9,57,1,28,18
538,22,14,6,21,30,13,23,15,31,5
540,41,49,33,57,25,43,35,42,50,36
555,63,62,49,64,55,41,54,57,56,42
556,49,41,57,33,43,35,25,42,50,52
576,41,49,25,33,17,57,9,28,1,27
605,23,30,31,15,22,7,39,24,32,16
616,14,13,6,5,15,22,7,23,12,21
619,49,41,57,37,36,33,43,35,38,21
622,23,15,7,24,16,8,63,49,22,64
626,14,22,6,15,21,23,7,13,30,5
639,33,25,41,17,49,9,57,1,19,20
657,25,17,41,33,49,9,57,1,18,26
658,49,52,51,41,59,57,43,35,44,50
662,41,49,33,57,25,17,42,50,9,34
666,17,25,9,33,41,49,1,57,18,26
686,23,31,24,29,15,32,16,30,48,63
699,23,15,24,22,7,16,8,32,31,30
706,54,55,53,62,61,63,56,64,60,52
711,14,6,13,15,22,23,7,5,17,25
717,41,33,49,25,57,17,9,1,26,34
762,49,41,57,33,25,36,42,50,35,17
773,37,21,30,29,22,36,41,38,49,33
775,22,30,23,21,14,15,7,6,31,29
776,49,41,57,33,25,63,42,35,43,50
786,21,17,25,22,28,41,49,33,30,29
787,17,25,33,9,41,49,1,57,28,18
792,49,41,57,33,25,17,28,29,21,22
794,41,49,33,57,25,17,9,28,35,43
810,14,6,13,5,22,21,12,4,30,15
816,9,17,25,33,1,41,49,12,57,11
825,49,41,28,57,33,36,40,20,27,23
830,14,13,6,22,21,5,30,9,12,29
