,"ADMP","AXIN2","BMP4","BMP7A","CHD","EVE1","FGF8A","FOXB1A","FOXD3","FOXD5"
,"LHX1A","LFT2","MIXL1","NDR2","OSR1","SOX3","SP5L","SZL","TA","VED"
12,41,49,33,57,25,60,42,54,43,53
26,33,41,25,49,17,57,9,42,34,50
45,33,25,41,17,9,49,1,57,19,27
51,33,41,25,49,17,57,9,1,26,18
67,17,25,9,33,1,41,10,11,49,18
73,41,33,49,25,57,17,9,35,43,34
77,25,17,33,41,9,49,1,57,18,26
85,41,49,33,57,25,17,42,34,50,43
101,63,62,55,54,64,50,42,61,56,53
103,33,41,25,49,17,57,9,1,26,18
105,33,25,17,41,9,49,1,57,18,26
107,41,33,49,25,17,57,9,1,35,43
132,33,41,25,49,17,57,9,1,26,27
136,49,41,33,57,25,17,9,42,34,35
141,33,41,25,49,17,57,9,1,27,26
166,25,17,33,9,41,1,49,18,26,10
168,33,41,25,17,9,49,1,57,11,19
170,33,25,17,41,9,13,14,5,49,6
180,25,17,33,9,41,1,18,21,26,3
182,33,41,25,49,17,57,9,1,26,27
197,33,41,25,49,17,9,57,28,20,44
211,49,41,57,33,25,50,17,60,42,58
214,25,33,17,41,9,49,1,27,19,26
219,41,49,33,57,25,17,54,53,42,55
235,25,33,17,41,9,1,49,18,26,57
239,9,17,25,33,1,41,10,49,12,2
245,54,55,62,63,53,61,56,64,46,60
247,25,17,33,9,41,49,1,57,10,18
257,25,33,17,41,9,49,1,19,27,18
260,22,30,21,14,23,31,6,15,7,13
268,49,41,33,57,25,17,9,35,42,43
270,49,41,33,57,25,17,42,43,34,35
279,41,33,49,25,17,57,9,28,1,20
315,22,30,49,14,21,23,6,31,15,41
322,49,41,33,57,25,42,43,50,34,35
331,41,33,49,25,17,9,57,1,42,34
338,33,25,17,41,9,49,21,1,29,19
350,22,23,21,30,31,15,14,7,6,29
403,23,31,15,7,39,22,24,32,30,16
405,33,25,41,17,9,49,1,57,18,26
411,41,49,33,57,25,42,50,34,17,60
415,25,33,17,41,9,49,1,19,18,27
421,33,41,25,17,49,22,21,14,30,6
427,22,33,21,30,25,55,63,41,54,23
447,23,31,15,22,7,24,30,32,16,8
465,33,54,41,55,25,62,53,63,61,49
475,33,25,41,17,49,9,57,22,21,1
480,25,17,33,9,41,1,49,18,19,26
481,49,41,54,55,63,57,62,33,53,61
486,25,33,17,41,9,49,1,57,18,26
531,33,25,41,17,9,49,13,14,5,6
543,23,31,15,7,22,30,24,16,32,8
551,21,22,13,30,33,29,5,14,25,6
554,41,33,49,25,17,57,9,21,13,22
561,17,25,9,33,41,1,49,18,13,10
572,17,25,9,33,41,1,12,49,4,3
584,33,25,41,17,49,57,9,42,34,35
593,25,17,33,9,41,1,49,18,19,26
601,49,57,50,42,41,58,60,51,34,59
612,22,30,23,31,21,15,14,7,6,49
614,22,30,23,21,31,14,15,7,6,29
615,22,23,30,31,15,21,14,7,6,29
623,25,17,33,41,9,20,28,12,1,19
628,14,6,15,13,7,23,22,5,31,30
640,17,9,25,33,1,41,10,18,2,49
641,33,41,25,17,49,9,57,42,34,35
650,33,25,41,17,49,57,9,1,26,18
656,33,25,41,17,49,9,57,1,27,35
664,33,41,25,49,17,57,9,34,42,26
675,49,41,57,33,22,30,21,14,23,6
684,22,23,31,30,15,7,14,6,21,24
691,41,33,49,25,57,17,42,63,9,54
695,33,41,25,49,17,57,9,1,19,27
709,41,33,49,25,57,14,17,6,9,13
716,25,17,33,9,41,1,49,18,26,19
722,22,25,33,41,30,21,17,23,49,14
733,41,49,33,57,22,14,25,30,6,23
748,41,33,49,25,17,57,21,22,36,30
769,23,22,31,30,15,7,14,63,24,6
772,25,33,17,41,9,49,1,57,26,18
779,41,33,49,25,57,17,9,1,35,42
829,33,25,41,17,9,49,1,57,18,26
832,33,41,25,49,17,57,9,23,22,21
842,62,63,54,61,53,55,60,64,56,49
