,"ADMP","AXIN2","BMP4","BMP7A","CHD","EVE1","FGF8A","FOXD3","FOXD5","FOXI1"
,"GATA5","GSC","NDR2","NOTO","OTX1A","SOX3","SP5L","SZL","TA","VED"
2,25,17,33,9,41,1,19,27,20,28
8,17,9,25,33,1,41,49,57,10,3
31,33,25,17,41,9,49,1,57,18,26
32,33,25,41,17,9,49,1,57,27,26
43,25,17,33,9,41,1,49,27,19,18
48,25,17,41,33,49,9,57,1,28,20
74,22,21,23,30,15,14,31,7,17,29
76,25,17,41,33,49,9,57,1,18,26
78,22,23,30,21,15,31,29,7,14,6
88,17,25,33,41,9,49,57,1,18,26
98,36,37,52,44,35,43,45,53,54,28
112,25,33,41,17,9,49,1,27,57,26
117,49,57,52,53,51,43,54,59,60,42
118,22,21,30,39,31,29,45,37,23,38
124,41,33,25,49,17,57,9,1,26,42
127,17,25,9,33,41,1,19,18,27,20
150,17,25,33,9,41,1,49,18,26,34
153,53,54,52,49,55,60,61,42,41,59
181,23,22,15,30,31,7,14,21,6,24
198,49,41,57,22,33,23,30,25,15,21
208,21,29,22,13,30,5,23,14,20,31
215,51,59,49,50,60,43,41,57,42,52
218,41,33,25,49,17,57,9,28,20,27
224,33,25,41,17,49,9,57,1,42,34
276,54,39,53,47,38,46,45,55,40,31
280,49,41,57,33,25,17,60,42,50,52
290,21,22,30,29,17,20,23,25,28,14
296,41,49,43,51,50,35,33,57,58,42
313,17,9,25,1,33,12,41,4,10,11
327,17,25,9,33,41,1,49,18,20,28
328,33,41,25,17,9,49,1,57,18,26
354,17,25,9,33,41,1,19,27,18,20
369,9,17,25,1,33,41,11,3,10,12
374,49,41,57,33,25,53,54,42,52,50
378,60,50,59,52,49,58,61,57,42,53
381,60,51,59,50,61,49,52,62,57,58
386,53,54,61,60,62,55,52,59,49,50
416,49,57,41,50,42,51,58,43,44,34
423,17,25,33,9,41,49,1,57,18,26
425,61,54,53,60,62,55,52,59,63,51
437,41,33,25,17,49,9,57,22,21,30
440,25,17,33,41,49,9,57,1,18,26
442,41,33,25,17,49,9,57,1,27,26
443,33,25,41,17,49,9,57,1,18,26
453,25,17,33,41,9,49,1,57,18,26
470,21,22,23,13,15,17,30,5,7,14
494,41,33,25,17,49,9,57,1,27,26
507,53,54,49,41,63,62,61,55,52,43
509,33,41,25,17,49,9,57,1,27,19
514,22,30,23,21,15,14,31,29,7,6
524,41,33,25,17,49,9,57,1,27,19
526,17,9,25,41,33,1,49,42,57,34
544,13,5,14,6,21,22,15,33,7,41
559,53,54,49,52,55,57,61,41,45,46
565,33,25,41,17,49,9,1,57,26,18
570,9,17,25,1,33,41,49,13,11,5
571,23,22,30,15,38,31,37,7,39,46
573,41,33,49,25,17,57,21,22,9,30
574,41,17,25,33,21,22,49,30,29,23
577,17,25,33,41,9,49,1,57,18,26
578,41,33,49,25,17,42,57,9,34,43
582,17,9,25,41,33,22,49,14,21,1
595,23,22,15,30,7,31,21,24,14,16
620,17,9,25,1,33,41,10,11,20,19
624,33,41,25,17,49,9,57,42,1,35
625,41,49,33,25,57,17,9,1,42,35
629,21,29,22,13,5,30,20,23,28,15
637,41,49,25,17,33,21,22,57,30,9
643,22,41,21,49,33,30,23,29,37,25
644,23,39,15,31,22,40,7,30,47,24
651,54,53,63,55,61,62,64,60,52,56
652,17,25,41,9,33,49,57,1,27,19
660,22,30,23,21,15,14,31,29,7,6
668,22,23,21,15,30,31,7,14,29,6
713,41,33,49,25,57,17,9,27,35,43
743,49,41,57,37,42,36,43,35,33,45
767,23,22,15,31,30,7,39,24,16,32
771,41,33,49,29,21,22,30,39,23,25
780,41,33,25,17,49,9,57,1,18,42
789,41,33,22,49,21,25,30,23,15,29
790,23,22,15,30,7,21,31,24,16,14
791,17,25,33,41,9,1,49,18,19,27
811,41,33,49,25,57,17,9,36,35,27
824,54,53,52,55,61,45,60,44,37,62
838,21,22,30,23,29,14,15,13,31,6
