,"AXIN2","BMP4","BMP7A","CHD","EVE1","FGF8A","FOXB1A","FOXD3","FOXI1","GATA5"
,"GSC","LFT2","MIXL1","NOTO","SOX3","SP5L","SZL","TA","VED","WNT8A"
14,22,23,15,30,7,31,14,21,6,24
15,41,33,49,25,57,17,9,42,34,53
21,41,49,33,57,25,17,9,42,1,34
39,41,49,33,57,53,54,25,52,42,50
42,17,25,9,33,41,1,49,57,10,2
57,25,41,33,17,49,9,57,1,21,27
62,25,41,33,17,49,9,57,1,26,18
66,41,49,33,25,57,17,36,44,9,43
68,41,33,49,25,17,57,9,1,26,18
99,41,33,49,25,17,21,22,57,29,30
109,25,41,33,17,49,9,57,1,20,28
129,41,33,25,49,17,57,9,1,26,42
140,41,49,33,57,25,17,52,9,51,43
142,33,41,25,49,17,9,57,1,34,42
147,49,41,57,33,59,52,60,53,51,43
171,41,33,25,49,17,9,57,1,26,42
175,41,33,25,49,17,57,9,1,27,35
188,41,49,33,25,57,17,9,27,35,43
189,41,49,33,57,25,17,51,9,43,27
192,41,33,25,17,49,9,57,1,27,26
228,41,33,25,49,17,9,57,1,42,34
237,41,33,49,25,17,57,9,1,42,27
243,41,33,25,17,13,49,5,21,9,14
249,41,33,25,49,17,57,9,1,27,26
250,14,6,15,7,23,22,13,5,30,31
253,41,33,49,25,17,57,9,1,28,36
256,49,59,60,53,41,54,57,52,61,51
281,41,33,49,25,17,57,9,1,42,34
300,41,49,33,57,59,51,50,42,25,43
307,22,21,30,23,29,31,15,14,7,6
311,25,33,17,41,9,49,1,57,18,26
312,23,15,7,24,16,31,22,8,32,30
324,25,17,33,41,9,49,57,1,27,26
332,25,41,33,17,49,21,9,13,22,14
353,21,22,30,29,25,23,17,14,13,33
355,41,33,49,25,17,57,9,42,1,34
364,41,49,33,57,25,17,9,1,42,50
379,31,32,24,16,23,8,56,39,30,64
387,49,41,33,25,17,57,9,1,18,26
428,41,33,25,49,17,57,9,1,27,26
431,41,33,25,49,17,57,9,21,27,22
436,41,49,33,25,57,17,35,42,21,43
439,41,33,49,25,17,57,9,1,27,35
448,13,41,14,25,17,33,5,6,21,22
457,41,49,33,25,17,57,9,1,42,35
487,41,49,33,25,57,17,9,28,36,20
492,41,33,49,25,17,57,35,43,9,42
502,33,25,17,41,9,49,1,57,42,34
503,41,33,25,17,49,9,57,42,1,34
512,17,25,9,33,41,1,49,57,10,2
517,41,49,33,25,57,17,9,27,35,1
542,22,21,23,41,30,15,49,14,29,7
557,41,49,33,57,25,17,9,35,42,27
567,25,17,33,41,9,49,1,22,21,57
568,13,5,14,6,41,21,12,49,22,4
581,22,23,30,15,31,7,14,39,6,21
585,22,30,29,23,21,63,15,31,7,54
589,41,33,25,17,49,9,57,1,26,27
597,17,25,9,33,41,1,49,57,10,12
606,41,49,33,25,57,17,9,35,42,43
609,25,17,33,9,41,49,1,57,10,18
611,41,33,25,49,17,57,9,20,28,27
634,41,33,49,25,17,57,9,27,1,19
655,63,64,62,56,55,61,54,59,50,58
670,41,33,49,25,57,17,9,42,1,34
674,14,6,15,13,22,7,23,5,30,21
676,22,23,21,30,15,7,31,14,29,6
678,31,30,22,41,49,23,21,29,15,33
688,22,23,21,15,30,7,31,14,6,29
714,41,49,33,57,25,17,59,52,43,60
725,41,49,33,57,25,17,59,9,27,21
728,41,33,25,49,17,22,57,21,23,9
729,25,33,41,17,49,9,57,1,27,19
731,33,25,41,17,9,49,1,57,10,3
763,41,33,25,17,49,9,57,1,26,18
774,54,63,49,53,41,55,52,36,57,62
778,25,33,17,41,9,13,49,5,14,1
783,25,33,17,41,49,9,57,1,27,19
796,41,49,33,57,25,29,21,28,22,20
800,41,33,25,17,49,9,57,1,26,18
802,22,23,21,15,30,14,7,6,31,13
815,22,23,15,21,30,7,31,14,6,13
819,22,23,15,30,21,7,31,14,29,6
821,22,14,21,6,13,23,30,15,5,7
833,41,33,25,49,17,57,9,21,20,22
