,"AXIN2","BMP4","BMP7A","CDX4","CHD","EVE1","FOXB1A","FOXD3","FOXD5","GATA2A"
,"GATA5","GSC","LFT2","OSR1","OTX1A","SOX3","SP5L","SZL","VED","WNT11"
6,40,56,39,24,32,64,16,30,23,8
13,14,6,15,7,23,22,31,13,5,16
18,41,49,33,25,17,57,9,28,1,20
61,23,22,30,31,15,21,7,24,14,32
70,41,25,49,17,33,9,57,1,18,26
80,23,15,22,7,31,24,16,14,32,8
81,63,55,62,64,56,50,42,54,58,61
144,41,49,33,25,17,57,9,28,19,36
154,49,41,33,25,42,17,57,34,50,9
169,25,33,17,41,9,49,1,57,18,26
178,49,43,51,36,42,50,35,44,59,41
185,17,25,41,33,49,9,57,1,28,19
186,17,25,41,33,49,21,9,28,22,30
190,49,41,57,33,23,22,15,25,7,14
196,14,6,15,7,23,22,13,31,5,30
207,14,22,6,21,15,23,30,7,13,31
212,17,25,41,49,33,9,57,28,36,1
220,49,41,57,33,42,25,50,34,43,35
240,49,41,25,17,33,57,9,36,42,1
241,23,22,24,31,15,32,16,30,8,7
244,49,41,33,25,57,17,9,1,42,34
266,17,25,9,33,41,1,28,19,27,20
273,9,17,25,41,33,1,49,57,3,10
274,25,17,33,41,9,49,1,57,18,26
285,25,17,33,41,9,49,1,28,21,27
299,49,41,57,33,25,36,17,35,43,42
303,33,41,25,49,17,57,9,1,26,18
304,49,41,57,51,43,35,50,33,42,59
309,22,23,31,15,30,7,21,14,25,17
314,13,12,5,4,14,6,3,21,11,22
316,24,16,23,8,32,22,15,7,31,21
323,17,25,9,33,1,41,19,18,20,27
339,17,25,9,33,41,49,1,57,18,28
351,17,25,33,41,9,49,1,57,18,28
357,41,49,33,25,57,17,9,1,36,35
359,17,25,33,9,41,1,49,18,57,26
362,17,25,9,21,1,22,30,23,33,18
365,25,41,33,17,9,49,1,57,28,19
370,35,36,43,49,41,28,30,17,51,25
382,41,49,33,25,17,57,9,35,43,42
393,25,17,41,33,49,9,28,57,1,20
404,41,49,33,25,17,9,57,1,42,34
455,25,33,17,41,49,9,57,1,19,18
466,49,41,57,50,42,58,33,34,51,43
472,30,22,31,23,29,49,41,28,21,39
479,17,25,9,33,41,49,1,57,18,26
485,63,62,64,55,54,56,61,42,50,53
500,33,41,25,49,17,36,43,35,57,42
511,23,24,32,31,16,30,8,22,15,7
516,49,41,57,33,43,35,36,51,42,25
521,17,25,33,9,41,1,19,49,18,20
523,43,51,42,50,35,59,60,49,52,34
527,41,33,25,49,17,57,9,1,19,20
536,28,21,29,36,30,22,20,44,37,23
537,22,23,21,15,31,7,30,14,13,6
558,41,33,25,49,17,9,57,1,34,42
566,14,6,22,15,23,7,13,21,5,31
583,22,23,15,31,30,7,14,21,6,24
596,60,52,49,43,41,35,44,51,57,42
608,17,25,9,33,41,49,1,57,28,19
613,41,49,33,57,25,35,43,17,51,27
631,17,25,9,33,1,41,49,3,57,12
647,23,30,31,22,15,7,24,32,16,8
654,41,49,9,42,33,17,43,25,35,34
682,41,49,33,25,17,57,9,36,35,43
687,12,4,13,5,14,3,6,21,9,11
690,23,22,31,15,7,30,39,24,32,16
705,51,43,35,59,41,60,52,42,50,49
718,49,57,41,42,50,34,33,58,23,22
735,17,9,25,1,33,41,19,18,11,3
740,14,6,15,7,23,22,13,5,31,21
745,17,25,33,41,9,21,1,49,3,22
752,9,17,25,1,33,12,4,10,41,2
753,49,41,57,36,33,28,44,25,35,43
755,23,31,22,15,7,30,24,49,32,43
757,49,41,57,33,25,43,35,51,42,50
758,41,33,49,25,17,57,9,1,35,43
759,49,57,41,52,60,44,39,43,51,33
782,30,63,54,39,55,22,21,23,38,31
788,22,21,30,23,31,28,29,15,7,20
798,49,41,57,42,33,50,34,35,43,25
805,39,38,30,37,44,46,40,36,45,31
812,22,14,21,23,30,15,6,7,31,29
828,41,33,25,49,17,57,9,35,43,42
841,23,22,15,7,31,24,16,14,30,32
