,"ADMP","BMP4","CDX4","CHD","EVE1","FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1"
,"GATA5","GSC","LFT2","NDR2","OTX1A","SOX3","SP5L","SZL","VED","WNT11"
1,22,23,15,7,21,31,14,30,6,24
9,17,25,33,9,41,1,12,4,20,49
24,60,53,61,54,36,50,42,52,62,43
25,49,60,57,41,61,53,36,52,54,43
28,22,23,31,21,15,14,30,7,6,13
55,49,41,57,36,33,35,43,60,52,44
58,17,25,9,33,1,20,19,18,41,12
69,9,1,4,12,14,6,3,13,5,10
83,60,61,52,53,59,51,41,44,49,28
87,52,44,60,36,53,51,61,45,43,59
92,9,17,1,25,33,10,11,12,2,18
94,39,23,40,15,31,7,22,24,30,32
104,9,17,1,25,33,41,11,49,28,20
106,21,13,22,5,14,6,12,4,20,23
110,41,33,49,25,57,17,9,27,21,20
113,41,33,25,17,9,49,28,20,19,27
149,44,52,36,49,45,51,43,60,35,57
152,23,30,24,22,31,32,16,15,8,7
157,17,25,9,33,1,41,18,19,10,26
161,17,25,9,33,41,1,49,18,19,26
187,9,17,25,1,33,41,12,4,10,3
217,44,52,36,17,25,33,43,41,51,35
255,49,41,33,57,25,17,36,28,20,35
261,22,23,15,7,14,30,31,6,24,21
269,33,25,41,17,9,49,1,57,18,26
283,41,33,25,49,17,57,9,27,28,20
298,20,17,28,25,9,21,19,33,52,18
305,41,33,25,49,17,57,9,27,28,20
306,17,9,25,1,33,41,10,20,18,28
336,54,60,53,61,52,44,62,45,55,36
340,63,36,42,64,62,50,49,54,43,35
352,13,14,5,6,15,7,22,23,21,12
358,17,9,25,33,1,41,49,10,18,2
375,33,25,41,17,9,49,1,20,12,4
390,23,30,22,31,15,7,24,21,32,16
396,9,17,1,25,33,10,2,41,11,18
397,49,41,33,57,25,17,36,42,9,35
401,52,53,44,60,49,36,45,57,54,61
419,49,44,41,20,57,21,36,28,52,33
424,54,63,53,55,49,62,41,42,61,50
429,17,25,33,9,41,1,18,49,26,10
450,17,25,9,33,20,21,1,41,28,18
454,63,55,64,62,56,54,46,38,37,47
467,25,33,17,41,9,49,1,27,26,28
474,36,44,52,43,42,35,37,60,53,49
478,33,41,25,49,17,57,9,1,26,27
483,33,41,25,17,9,49,1,57,18,28
488,17,25,33,41,49,9,57,1,18,34
493,13,5,14,6,12,4,21,22,15,7
528,41,49,33,57,43,42,51,35,50,44
534,22,23,21,15,30,7,24,31,16,14
552,21,20,28,22,13,17,41,25,5,33
560,41,49,33,57,25,54,27,62,63,17
562,21,22,13,5,20,14,23,28,12,6
563,39,49,31,23,30,40,22,57,41,15
586,33,41,25,49,17,9,57,1,26,27
598,49,41,33,57,25,17,28,27,9,20
599,33,41,25,17,9,49,28,20,44,1
600,9,17,1,13,12,5,4,25,3,21
604,17,25,9,33,1,18,19,41,20,28
607,25,17,33,41,49,9,21,22,30,57
621,9,13,12,5,4,1,17,3,11,10
663,22,30,21,23,31,15,29,7,24,14
665,21,22,29,30,23,20,31,15,28,7
673,31,23,15,7,22,39,32,24,16,8
680,17,9,1,13,12,21,25,4,20,5
694,13,5,14,6,4,12,3,21,15,22
707,25,17,9,33,1,41,49,10,11,12
712,22,14,23,15,6,21,13,7,5,12
723,41,33,25,49,17,57,9,27,28,20
754,9,12,4,13,5,1,17,3,21,14
760,49,41,33,57,25,14,22,6,21,13
766,62,63,54,61,60,64,36,55,53,50
795,22,30,21,23,15,14,7,31,29,6
797,13,9,12,5,4,17,1,3,21,11
799,25,33,17,41,49,9,57,1,26,18
801,41,49,33,57,22,23,25,15,14,21
809,22,36,21,44,45,37,52,31,23,30
813,49,60,57,28,52,41,53,44,36,20
834,25,33,17,41,49,9,57,1,28,26
837,17,25,9,28,33,20,41,19,1,27
845,21,20,28,17,29,12,25,4,19,3
846,9,17,1,25,12,13,4,5,10,3
851,41,33,25,49,17,57,9,27,26,28
