,"BMP4","BMP7A","CDX4","CHD","EVE1","FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1"
,"GATA5","LFT2","MIXL1","NOTO","SEBOX","SOX3","SP5L","SZL","TA","VED"
11,33,25,41,17,9,49,27,1,28,20
17,25,17,33,9,41,1,12,4,3,20
19,25,17,33,9,41,1,49,18,57,26
22,25,17,33,41,9,49,1,57,18,26
27,41,33,49,25,17,57,22,21,30,23
29,17,9,25,33,1,41,10,11,18,2
46,41,49,33,57,25,17,42,43,35,34
52,49,57,59,50,41,51,58,42,52,43
59,41,33,25,49,17,9,57,1,28,20
60,33,25,41,17,9,49,1,57,18,26
65,41,49,33,25,57,17,9,27,28,20
71,41,49,33,57,25,17,21,42,22,35
93,41,33,21,49,35,53,43,54,52,36
96,22,23,15,7,31,21,30,14,6,24
100,41,33,25,49,17,57,9,1,42,26
116,49,41,57,33,25,22,30,42,23,31
134,41,49,33,25,57,17,9,42,1,34
135,22,21,23,15,31,7,30,14,13,6
148,41,49,33,22,57,21,30,23,25,15
151,47,31,23,30,39,15,48,22,55,7
176,41,33,25,49,17,9,57,1,12,4
177,41,49,33,57,25,22,30,23,31,17
191,41,49,33,25,22,21,57,30,23,17
193,63,30,23,31,64,55,22,29,15,56
195,41,33,25,49,17,57,35,27,20,42
221,23,22,15,31,7,30,14,6,21,24
223,25,17,33,9,41,1,49,18,26,10
231,33,41,25,17,49,9,27,57,28,1
234,49,41,57,33,25,52,53,54,17,42
238,49,41,57,14,30,33,22,6,15,23
264,41,49,33,57,25,42,43,35,36,50
272,41,33,49,25,17,57,9,1,42,35
278,25,33,17,41,9,1,49,27,28,20
287,41,49,33,57,36,25,42,43,35,44
292,33,41,25,17,49,9,1,57,26,18
317,23,22,15,31,7,30,14,24,6,21
330,41,25,33,17,49,57,9,42,1,34
335,52,53,54,49,55,59,43,51,61,60
343,25,17,33,41,9,27,28,20,19,1
348,33,25,41,17,9,49,20,1,27,28
349,41,49,33,57,25,17,35,43,42,36
380,25,17,33,9,41,1,49,18,20,19
399,17,25,9,33,41,1,49,57,10,12
408,25,33,17,41,9,49,1,57,18,26
434,41,33,25,49,17,9,57,1,27,26
468,17,9,25,33,1,41,12,4,3,11
473,41,33,25,17,49,9,57,1,20,27
491,25,17,33,21,41,9,22,13,20,23
499,41,49,57,33,42,63,35,43,36,30
525,49,41,57,44,43,42,36,35,52,50
530,48,47,40,39,46,55,38,56,54,41
532,25,17,33,9,41,49,1,12,4,57
535,23,39,22,31,15,7,30,14,40,6
539,41,49,33,21,25,22,30,29,57,17
550,23,22,31,15,30,7,21,14,24,32
564,22,23,15,7,21,14,31,30,6,13
575,25,17,33,9,41,1,49,18,10,26
588,41,33,42,49,64,63,25,50,34,35
591,23,22,30,31,15,21,7,24,16,32
635,41,33,49,25,57,17,20,28,35,21
636,43,36,37,35,45,55,42,54,44,53
645,23,22,15,7,31,30,14,24,6,16
671,15,14,23,22,7,6,31,30,13,16
672,25,33,17,41,9,20,12,49,4,1
685,33,25,41,17,9,49,1,27,20,28
696,41,49,33,57,63,42,25,43,54,35
708,21,22,30,23,29,15,31,7,14,13
720,49,41,33,57,25,17,35,36,43,28
721,25,17,33,9,41,1,49,18,26,57
737,49,41,33,25,57,17,22,30,9,21
738,21,22,30,23,14,15,41,29,31,7
747,63,64,62,56,55,61,54,50,58,60
768,30,22,23,31,15,21,7,24,29,39
777,23,22,15,7,21,31,30,14,24,16
785,25,33,17,41,9,49,1,57,12,4
803,25,33,17,41,9,1,49,19,18,12
804,22,23,15,7,14,31,30,21,6,24
806,64,63,56,21,30,22,29,23,55,41
807,21,25,17,13,33,20,22,5,12,41
808,41,49,33,25,22,57,23,21,17,15
817,63,55,54,53,62,64,56,61,52,60
826,41,33,25,49,17,57,21,22,30,23
836,13,21,14,22,5,6,15,23,7,30
840,49,41,22,57,23,15,14,7,30,21
844,17,9,25,1,33,41,11,12,10,3
847,22,21,30,23,15,31,29,7,14,6
