,"ADMP","BMP4","BMP7A","CDX4","CHD","EVE1","FOXB1A","FOXD3","FOXI1","GSC"
,"LHX1A","NOTO","OSR1","SOX3","SP5L","SZL","TA","VED","WNT8A","WNT11"
3,41,33,49,25,57,54,17,53,55,52
4,23,15,31,22,7,24,30,16,32,8
16,33,41,25,17,49,9,57,1,42,34
23,41,33,49,25,17,57,9,36,44,42
34,17,25,9,33,41,1,49,57,10,18
38,41,33,49,25,22,57,30,21,17,23
44,41,33,49,25,57,17,9,35,43,27
56,17,25,9,33,41,1,49,57,10,11
64,25,33,17,41,9,49,1,57,12,27
82,41,33,25,17,49,9,57,1,20,28
108,41,33,49,25,57,17,30,21,29,22
111,41,49,33,25,57,17,52,35,43,9
114,41,33,49,25,17,57,9,1,28,20
126,33,41,25,17,49,9,57,1,26,18
131,41,49,33,57,25,17,35,43,42,52
138,41,33,25,49,17,57,9,1,42,34
163,41,33,49,25,17,57,9,1,34,42
164,23,22,30,31,15,7,39,40,24,32
165,41,33,49,25,57,17,9,28,27,20
174,33,25,41,17,49,9,57,1,26,18
201,25,33,17,41,9,49,1,57,18,26
204,25,17,22,21,33,14,13,41,6,30
205,25,17,33,41,9,49,1,12,57,4
213,33,25,41,17,49,9,57,1,26,18
222,54,55,59,53,62,61,52,49,60,63
232,41,33,49,25,17,57,9,1,28,27
252,14,6,15,7,64,23,41,22,63,13
265,41,49,33,54,25,57,53,63,55,17
275,41,49,33,57,25,17,53,9,54,52
282,33,25,41,17,49,9,57,1,27,28
286,33,41,25,49,17,9,57,1,28,20
288,17,9,25,33,41,1,49,57,10,2
293,33,41,25,17,49,9,1,57,18,10
294,49,41,57,33,54,55,53,25,60,52
297,25,33,41,17,49,9,57,1,18,21
329,41,33,25,17,49,9,57,30,1,21
341,22,23,30,31,15,7,24,21,32,16
342,41,33,49,25,17,57,9,42,1,50
345,41,33,49,25,57,17,9,27,1,28
356,23,22,15,31,7,30,24,16,32,39
373,25,33,17,41,9,49,1,57,18,19
384,41,33,25,49,17,57,9,1,26,18
389,23,30,31,15,24,22,7,32,16,8
398,41,33,25,49,17,57,9,1,27,28
418,41,33,25,17,49,9,57,1,12,4
420,41,33,49,25,57,17,30,21,22,9
426,41,25,33,49,17,57,9,28,27,36
432,33,41,25,17,9,49,1,57,10,18
433,41,33,49,25,17,9,57,1,42,35
441,54,53,41,49,52,60,55,61,57,33
449,41,33,49,25,17,57,30,21,29,22
451,41,33,49,25,17,57,9,1,42,34
463,33,25,41,17,49,9,57,1,26,18
464,49,41,57,33,25,60,54,52,55,59
482,62,54,63,61,53,60,52,55,59,64
505,41,33,25,49,17,57,9,1,27,28
519,62,61,54,63,53,55,60,59,64,52
529,41,49,33,25,57,17,9,1,50,42
547,25,33,17,41,23,15,7,49,24,22
548,41,33,49,25,57,17,9,1,27,26
569,33,41,25,17,49,57,9,29,28,20
579,41,33,25,49,17,57,9,1,28,29
592,41,49,33,57,25,17,9,35,43,27
603,49,41,33,57,52,53,60,61,54,25
632,41,33,25,49,17,9,57,1,26,18
638,22,23,21,15,14,30,7,6,31,13
653,41,33,25,49,17,57,9,1,26,18
659,41,33,49,25,57,17,42,35,43,30
661,22,23,15,14,30,7,31,6,21,24
669,25,17,33,41,9,49,57,1,18,26
702,25,33,17,41,9,49,1,57,26,27
703,23,22,15,7,31,24,16,30,8,32
719,41,33,30,22,25,21,17,23,49,31
727,41,33,25,17,49,9,57,1,27,28
732,25,33,17,41,30,22,21,9,29,49
746,25,17,33,41,9,49,1,57,18,26
750,25,33,17,41,9,49,1,57,18,26
751,25,33,17,41,9,49,1,13,14,12
764,41,33,13,14,49,25,5,6,17,9
765,41,49,33,25,57,17,52,27,28,9
784,41,49,33,25,57,17,9,35,1,43
820,41,33,25,49,17,14,57,22,9,6
822,33,25,41,17,49,9,57,1,27,28
827,41,33,25,49,17,57,9,1,26,63
848,23,15,31,22,7,24,30,16,32,14
850,41,33,49,25,17,57,9,1,42,34
