,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1"
,"FGF8A","FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HES6","ISM1"
,"LHX1A","LFT2","MIXL1","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SEBOX"
,"SNAI1A","SOX3","SP5L","SZL","TA","TBX16","VED","VOX","WNT8A","WNT11"
10,17,25,41,33,9,29,49,21,30,28
30,41,33,25,17,9,49,1,57,10,18
37,41,25,33,17,49,9,1,57,21,29
40,41,49,33,25,17,57,9,29,28,21
41,41,49,28,21,30,29,33,22,25,17
47,41,49,21,30,22,33,29,57,14,25
50,23,31,30,15,22,7,24,32,16,21
79,41,25,33,17,9,49,1,22,21,13
97,17,25,9,33,41,1,49,10,3,11
123,41,49,33,25,57,17,28,36,52,44
137,41,49,33,25,57,17,9,42,1,35
156,41,49,33,25,57,17,9,43,35,36
160,60,41,54,53,61,49,52,33,25,59
167,17,25,41,9,33,22,49,14,21,6
173,14,22,6,15,23,7,30,31,21,13
183,22,21,14,30,6,29,13,23,5,15
184,33,41,25,17,9,49,1,57,18,26
199,30,22,21,29,23,31,14,15,6,7
202,49,41,57,33,25,17,9,43,35,42
203,30,22,23,31,21,15,29,7,39,14
210,41,49,33,57,25,36,52,17,44,28
225,41,49,33,25,57,17,42,35,36,43
229,17,9,25,33,1,41,49,10,18,28
230,17,25,33,9,41,1,49,19,18,57
233,22,41,21,14,49,6,30,33,13,23
248,41,25,33,17,49,9,57,1,29,18
262,41,33,25,49,17,9,57,1,27,26
263,41,17,9,25,33,49,1,57,10,3
271,41,33,25,49,17,9,57,1,34,42
289,25,41,33,17,9,49,1,57,28,27
308,37,38,29,30,46,41,45,22,21,49
320,36,41,49,44,33,43,37,57,35,28
321,25,33,17,41,9,49,1,57,34,18
326,17,25,41,33,9,49,21,29,28,1
334,23,15,31,22,7,30,14,6,24,16
347,41,49,33,57,25,17,42,9,34,43
361,55,54,56,53,63,23,15,7,61,31
388,17,25,9,33,41,1,49,21,28,57
406,41,49,33,25,57,17,42,43,9,35
410,41,33,25,17,49,9,57,1,28,42
417,41,49,33,25,57,17,9,42,1,35
422,41,49,33,29,28,21,36,25,44,57
444,30,21,22,29,14,23,31,6,15,7
445,17,25,33,41,9,49,1,57,19,18
446,23,31,22,30,15,7,14,21,6,39
458,17,25,33,41,9,49,1,57,28,18
460,41,49,33,57,25,43,17,35,42,51
469,25,17,33,41,9,49,1,28,36,57
498,41,49,33,57,25,17,9,43,42,35
501,17,25,9,33,41,1,49,57,10,18
508,41,33,25,49,17,9,57,1,42,34
515,17,25,33,9,41,1,49,18,28,19
520,17,25,9,33,1,41,18,20,28,49
522,41,25,33,17,49,9,57,1,28,36
538,22,14,6,21,30,13,29,5,23,15
540,41,49,33,57,25,42,43,17,35,52
555,49,41,57,50,42,63,43,59,52,62
556,41,49,57,60,52,59,33,43,42,51
576,41,49,33,25,17,57,9,1,27,42
605,31,23,39,15,30,7,22,38,47,40
616,14,6,13,5,22,15,7,23,21,30
619,49,60,41,52,45,37,57,59,38,43
622,23,15,22,7,31,14,6,30,24,16
626,14,22,21,6,30,13,15,23,29,5
639,25,17,33,9,41,1,49,20,18,19
657,41,25,33,49,17,9,57,1,21,30
658,41,49,52,43,57,44,36,53,33,42
662,41,33,49,25,17,57,9,42,1,34
666,17,25,33,9,41,49,1,57,18,28
686,31,23,30,32,24,48,16,15,47,8
699,23,31,15,24,7,32,16,8,22,39
706,54,55,53,62,61,63,56,60,64,52
711,14,22,15,6,23,7,30,13,31,21
717,33,41,25,49,17,9,57,1,34,26
762,49,41,57,53,54,61,62,52,55,60
773,54,53,62,61,52,63,55,59,60,49
775,30,23,22,31,15,7,14,24,16,32
776,41,33,25,17,49,9,57,1,42,43
786,17,41,25,33,9,49,28,21,22,20
787,17,25,9,33,41,1,49,18,19,27
792,41,49,57,33,25,53,52,61,17,28
794,41,33,49,25,57,17,9,29,30,28
810,13,14,21,5,6,22,37,29,30,45
816,17,25,9,33,41,1,49,10,57,18
825,39,30,40,41,23,22,31,29,15,33
830,14,21,13,22,6,5,29,30,28,17
