,"ADMP","AXIN2","BMP2B","BMP4","BMP7A","CDX4","CHD","CST3","EVE1","FGF8A"
,"FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","HES6","ID3"
,"LHX1A","LFT2","NDR1","NDR2","NOG1","NOTO","OSR1","OTX1A","OTX1B","SEBOX"
,"SOX3","SP5L","SZL","TA","TPH1B","VED","VENT","VOX","WNT8A","WNT11"
5,23,15,24,16,7,8,32,31,22,40
7,23,22,15,21,7,30,31,14,29,6
20,17,9,25,21,41,33,1,13,5,29
35,41,33,25,17,49,9,57,42,1,43
36,25,33,41,17,9,49,1,57,20,21
49,52,28,20,21,36,12,13,29,53,4
53,25,33,41,17,9,49,1,57,34,26
63,63,64,55,56,62,54,61,53,60,50
72,63,64,62,56,55,50,58,54,61,53
89,33,25,17,41,9,49,1,57,18,26
102,23,31,30,15,7,22,24,32,16,8
115,41,33,49,25,17,21,57,22,13,14
120,33,25,41,17,9,49,1,57,18,34
121,23,24,15,30,22,31,16,32,7,8
125,41,33,49,25,42,43,17,35,34,57
128,17,25,9,33,41,1,49,21,20,57
130,17,25,33,41,9,1,63,49,64,34
139,22,23,30,15,31,7,14,21,6,24
145,49,57,41,59,52,42,43,50,33,60
146,17,9,25,33,1,41,49,10,18,2
158,63,64,50,56,55,58,49,42,57,54
159,22,21,31,30,23,29,15,7,14,6
172,52,53,54,59,60,49,43,36,42,35
194,17,9,25,33,1,41,12,18,10,20
226,17,25,9,33,41,1,21,20,28,19
227,22,23,30,15,31,7,21,14,29,6
242,41,17,49,25,33,53,9,57,54,52
258,22,21,30,14,23,6,15,7,29,13
277,41,33,49,25,42,57,43,17,36,34
291,59,60,51,52,50,49,57,58,62,61
301,30,22,23,41,42,15,43,31,33,7
319,54,53,61,52,62,55,59,60,63,56
333,25,17,33,41,9,49,1,57,26,27
337,38,37,46,45,30,22,39,23,15,31
344,22,21,23,14,15,30,13,6,29,7
360,17,25,33,41,9,1,49,18,19,27
366,41,36,49,33,44,53,35,25,54,57
368,52,43,49,42,44,36,41,57,35,50
371,41,42,33,49,50,43,25,57,34,58
372,41,49,33,42,57,25,43,17,50,52
376,17,25,9,33,41,1,49,18,28,19
383,41,33,25,49,17,57,9,28,1,20
394,17,25,9,33,1,41,18,20,28,10
395,33,41,25,17,49,9,57,1,34,26
400,33,41,25,17,49,9,57,1,34,26
409,22,23,15,14,7,30,31,6,21,24
414,23,15,31,7,22,24,16,30,32,8
435,17,25,33,9,41,49,1,34,42,36
438,41,33,25,17,9,49,1,28,57,19
452,41,49,33,57,25,17,9,43,42,59
456,37,29,36,38,21,30,63,46,64,22
459,49,41,57,33,25,42,50,43,17,58
471,22,21,14,6,30,13,23,5,15,29
484,54,55,53,56,63,64,61,62,52,47
495,41,49,33,57,25,17,42,9,43,34
497,41,49,52,57,42,43,44,53,33,59
504,59,52,60,53,41,43,49,51,54,61
506,49,41,57,33,50,42,43,25,58,59
510,23,22,15,7,31,14,6,30,24,16
549,13,5,21,14,6,22,29,12,4,30
594,17,25,9,33,1,41,18,19,49,27
610,22,23,15,14,30,7,6,31,21,24
618,41,33,25,17,9,49,13,12,5,4
627,17,25,28,9,41,20,33,36,1,52
633,22,23,15,14,21,7,6,31,30,13
649,49,41,57,33,25,42,43,50,35,34
667,22,21,14,13,6,30,5,29,23,15
679,17,25,9,21,33,41,1,22,13,5
681,9,17,13,5,21,25,1,12,14,4
683,17,25,9,33,41,1,49,18,19,28
689,22,21,14,30,23,13,6,29,15,5
700,23,24,16,32,40,8,31,15,7,48
715,21,22,17,30,29,9,25,13,14,5
724,41,49,43,36,42,44,57,35,52,53
742,41,25,33,17,9,49,1,57,18,42
744,45,52,53,46,44,37,60,54,38,61
749,17,9,25,1,33,12,4,41,3,13
781,41,33,13,21,12,5,25,4,14,49
793,17,25,33,9,41,49,1,28,20,57
814,41,25,33,17,49,9,22,30,57,21
818,22,21,14,13,30,6,5,29,23,17
823,33,41,25,17,9,49,1,36,35,42
831,17,9,25,1,33,41,29,28,21,20
843,23,48,31,24,47,15,32,30,16,29
849,49,41,57,33,42,43,50,25,35,58
