,"ADMP","AXIN2","BAMBIA","BMP2B","BMP4","BMP7A","CDX4","CHD","EVE1","FGF8A"
,"FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","HES6","ISM1"
,"LHX1A","LFT1","LFT2","MIXL1","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B"
,"SEBOX","SNAI1A","SOX3","SP5L","SZL","TBX16","VED","VENT","VOX","WNT11"
6,23,40,24,39,32,16,31,15,8,7
13,14,6,22,31,30,15,23,13,21,7
18,41,49,33,25,17,57,28,9,36,20
61,23,22,30,15,7,31,21,24,16,32
70,25,17,41,33,9,49,1,57,42,18
80,23,22,15,7,31,30,14,6,24,16
81,62,63,55,54,61,64,56,53,60,59
144,49,41,57,60,33,25,29,17,28,21
154,33,25,17,41,49,9,42,57,34,1
169,17,25,33,9,41,1,49,18,20,19
178,60,59,52,53,61,51,54,50,49,43
185,17,25,33,9,41,49,1,57,18,19
186,17,25,33,9,41,49,1,28,57,21
190,41,49,22,14,30,57,21,6,23,33
196,15,23,14,7,6,22,31,30,16,24
207,17,9,21,14,25,13,22,12,6,28
212,17,25,33,9,41,49,1,57,34,18
220,49,41,57,33,25,42,50,34,35,43
240,41,49,36,17,25,33,53,28,29,37
241,23,15,31,7,24,22,16,32,30,8
244,41,33,25,49,17,9,57,1,34,42
266,17,25,9,33,1,41,18,19,28,10
273,17,25,9,33,41,1,49,57,12,10
274,17,25,33,41,9,1,49,18,28,57
285,25,33,41,17,9,49,21,1,29,30
299,41,49,33,25,17,57,9,36,35,42
303,33,25,41,17,9,49,1,57,22,21
304,49,60,57,61,41,53,59,50,54,51
309,25,33,17,41,22,21,23,30,49,9
314,9,17,25,33,41,1,12,4,3,49
316,23,15,22,24,16,7,32,8,31,30
323,17,25,9,33,1,41,18,19,10,20
339,17,25,9,33,41,1,49,28,20,18
351,17,25,33,9,41,1,49,28,20,18
357,25,33,17,41,49,9,57,1,36,35
359,17,25,33,9,41,1,49,18,28,26
362,22,21,30,17,23,29,9,14,25,15
365,17,25,33,9,41,1,49,28,18,19
370,41,49,33,17,25,36,43,42,35,57
382,41,49,33,25,17,57,42,9,43,35
393,17,25,41,33,9,49,28,1,57,36
404,41,33,49,25,17,9,57,1,42,34
455,17,25,33,9,41,49,1,57,18,19
466,49,57,61,50,60,53,54,62,58,59
472,30,54,22,31,53,29,23,49,38,39
479,17,25,9,33,1,41,18,49,10,26
485,63,62,55,64,56,54,61,53,60,59
500,25,33,17,41,9,36,49,37,1,35
511,23,22,30,15,31,7,21,24,29,16
516,49,41,57,33,25,42,43,50,35,53
521,17,25,9,33,41,1,49,20,21,18
523,60,53,54,61,52,59,51,55,62,50
527,17,25,33,9,41,49,1,57,18,19
536,21,29,30,22,36,28,37,14,23,20
537,21,22,30,29,13,31,5,14,23,6
558,33,25,17,41,9,1,49,28,18,57
566,21,22,14,13,6,5,30,29,15,23
583,22,21,30,23,14,15,6,7,31,29
596,49,41,60,43,57,52,42,35,33,50
608,17,25,9,33,41,1,49,18,28,19
613,41,49,33,57,25,17,42,43,35,34
631,17,9,25,33,41,1,49,57,18,3
647,23,15,31,7,30,22,24,16,32,8
654,17,9,25,33,41,1,49,34,35,42
682,41,33,49,25,17,57,9,1,35,60
687,9,17,25,33,12,1,13,4,5,41
690,23,15,31,7,22,39,24,30,16,32
705,60,59,61,52,53,51,62,54,50,58
718,41,49,33,42,57,35,34,25,22,21
735,17,9,25,33,1,41,18,10,19,11
740,15,14,23,7,22,6,31,21,30,13
745,21,22,17,41,25,33,13,5,29,9
752,17,9,25,1,33,12,41,4,10,18
753,41,49,33,25,17,36,57,9,28,44
755,45,41,43,22,30,49,21,44,37,29
757,41,49,33,57,25,17,42,9,34,43
758,33,25,17,41,9,49,1,28,57,35
759,52,60,53,39,54,49,45,44,38,57
782,23,63,30,31,15,39,22,29,55,64
788,21,29,30,28,22,17,41,20,25,31
798,49,41,57,42,50,43,63,58,59,51
805,39,38,45,31,30,46,37,47,22,23
812,21,22,30,14,29,23,6,28,15,13
828,41,49,33,25,57,17,9,42,35,43
841,23,22,15,7,30,31,21,14,24,16
