,"ADMP","AXIN2","BMP4","BMP7A","CDX4","CHD","CST3","EVE1","FGF8A","FOXB1A"
,"FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","HES6","ISM1","LHX1A"
,"LFT1","LFT2","MIXL1","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SNAI1A"
,"SOX3","SP5L","SZL","TA","TBX16","VED","VENT","VOX","WNT8A","WNT11"
1,23,15,7,31,22,24,16,32,8,30
9,41,33,25,17,49,9,1,57,3,28
24,61,54,53,62,42,49,50,52,60,55
25,49,41,57,33,25,17,9,1,59,60
28,22,21,14,30,6,29,13,17,23,5
55,49,41,57,33,25,43,17,35,42,36
58,17,25,9,33,41,1,18,19,49,28
69,9,17,41,25,1,33,49,57,10,2
83,60,49,61,59,41,53,52,57,51,54
87,52,60,59,51,49,50,53,43,57,42
92,9,17,25,1,33,41,10,11,2,18
94,39,47,40,38,23,30,31,48,15,46
104,17,9,25,1,33,41,49,10,11,57
106,22,14,21,6,13,17,30,5,29,25
110,25,41,33,49,17,9,57,1,26,27
113,33,41,25,17,9,49,1,57,18,28
149,49,41,33,57,25,17,43,35,44,42
152,23,31,24,32,15,16,30,8,7,22
157,17,25,33,9,41,1,49,18,22,21
161,17,25,9,33,41,1,49,18,57,26
187,17,9,25,33,1,41,12,10,4,18
217,44,36,17,25,33,41,28,9,52,20
255,41,33,25,49,17,9,57,35,1,43
261,23,15,31,7,24,16,32,8,22,30
269,33,25,41,17,9,49,1,57,18,26
283,41,33,25,49,17,9,57,1,27,28
298,25,33,17,41,9,28,20,1,21,29
305,25,33,17,41,9,49,1,57,27,28
306,17,9,25,33,1,41,18,10,49,28
336,54,53,52,60,61,59,62,51,55,43
340,49,41,57,42,50,33,63,25,58,34
352,14,6,22,13,15,5,21,23,7,30
358,17,25,9,33,41,1,49,57,10,18
375,25,17,33,9,41,1,49,18,26,28
390,23,31,30,15,7,22,29,21,17,24
396,17,9,25,1,33,41,10,18,49,2
397,41,49,33,57,53,25,54,17,52,42
401,41,49,33,25,57,17,43,35,42,36
419,41,49,33,57,25,17,9,52,43,35
424,54,53,55,49,63,62,61,41,50,57
429,33,25,41,17,9,49,1,57,18,26
450,17,25,9,33,41,1,21,29,30,22
454,63,55,62,54,56,64,61,53,46,38
467,25,17,33,41,9,49,1,57,26,27
474,41,33,25,17,49,9,37,36,45,38
478,33,41,25,17,49,9,57,1,26,27
483,41,33,25,17,49,9,57,1,28,18
488,25,17,33,41,9,49,1,57,18,34
493,14,6,13,22,15,5,23,7,21,30
528,41,49,33,57,25,42,43,35,34,52
534,17,25,33,41,22,21,9,30,14,49
552,17,25,33,9,41,13,21,49,20,5
560,41,49,33,57,25,17,59,50,60,27
562,21,22,13,14,29,5,6,30,41,33
563,41,49,33,30,57,22,38,39,21,37
586,33,25,41,17,49,9,57,1,26,18
598,41,33,25,49,17,57,9,1,35,42
599,41,33,49,25,17,57,9,1,28,35
600,17,9,25,33,1,41,10,18,12,3
604,17,25,9,33,1,41,18,19,26,10
607,25,17,33,41,9,49,21,28,29,30
621,17,9,25,1,33,41,12,10,11,4
663,30,23,31,29,21,22,15,7,39,24
665,23,31,39,30,15,40,7,47,22,29
673,23,31,15,22,7,39,30,14,24,32
680,17,25,9,33,1,41,49,18,13,10
694,14,6,30,21,13,29,39,22,40,15
707,17,25,9,33,1,41,49,10,11,18
712,23,15,7,22,14,31,6,21,13,24
723,25,33,41,17,9,49,1,57,27,29
754,9,17,21,13,25,29,5,14,30,6
760,41,49,33,57,25,42,35,17,43,22
766,62,63,61,54,60,59,53,50,64,55
795,22,30,21,54,29,14,6,62,53,23
797,17,9,13,5,21,25,14,12,6,1
799,25,33,17,41,9,49,1,57,18,26
801,33,41,25,17,49,22,9,13,21,14
809,22,21,30,14,37,29,6,23,45,31
813,41,49,33,25,57,17,9,52,45,37
834,25,17,33,41,9,49,1,57,26,18
837,17,25,9,33,41,1,28,49,19,20
845,17,25,33,9,41,1,49,28,20,19
846,9,17,25,1,13,33,14,5,6,12
851,41,33,25,49,17,57,9,1,27,26
