,"ADMP","AXIN2","BAMBIA","BMP4","BMP7A","CDX4","CHD","CST3","EVE1","FGF8A"
,"FOXB1A","FOXD3","FOXD5","FOXI1","GATA2A","GATA5","GSC","HER1","ISM1","LHX1A"
,"LFT1","LFT2","MIXL1","NDR1","NDR2","NOTO","OSR1","OTX1A","OTX1B","SNAI1A"
,"SOX3","SP5L","SZL","TA","TBX16","VED","VENT","VOX","WNT8A","WNT11"
3,41,33,49,25,17,57,9,35,42,36
4,23,15,22,7,31,24,16,32,30,8
16,25,17,33,41,9,49,36,1,34,42
23,45,37,44,36,28,29,38,46,17,25
34,25,17,9,33,41,1,49,10,57,2
38,22,30,49,41,21,36,57,33,35,29
44,33,25,41,17,28,9,29,20,27,19
56,17,9,25,33,41,1,49,57,10,11
64,17,9,25,1,33,41,10,18,11,3
82,25,33,17,41,9,49,1,57,28,21
108,41,33,49,25,54,17,52,53,35,42
111,41,33,25,49,17,35,36,43,42,57
114,41,33,25,49,17,9,57,1,42,34
126,25,33,17,41,9,49,1,26,57,18
131,49,57,41,54,53,61,42,35,33,50
138,25,33,17,41,9,49,1,57,34,42
163,25,33,17,41,9,1,49,18,26,19
164,23,22,15,21,7,31,30,29,24,39
165,41,33,25,17,49,9,44,36,35,57
174,17,25,33,9,41,1,18,49,20,26
201,17,25,9,33,1,41,18,26,10,19
204,17,9,25,33,21,14,22,41,13,6
205,9,17,25,1,33,12,4,3,11,10
213,25,17,33,41,9,49,1,18,57,26
222,55,54,62,61,53,56,63,60,59,52
232,49,36,44,41,57,33,52,25,28,45
252,14,6,22,15,7,13,23,5,30,63
265,36,54,37,53,52,35,55,43,42,44
275,49,41,57,33,25,54,53,42,61,35
282,25,33,41,17,9,49,27,1,26,28
286,25,17,33,9,41,1,18,26,49,27
288,9,17,25,1,33,41,49,10,2,57
293,17,9,25,1,33,41,29,10,21,13
294,54,55,61,62,63,53,60,56,52,64
297,49,41,17,25,33,57,9,21,1,22
329,41,25,33,17,49,30,9,22,21,29
341,23,31,24,22,32,30,16,15,8,7
342,25,17,33,41,9,49,1,34,42,35
345,41,33,25,49,17,57,9,27,35,26
356,23,15,7,22,31,24,16,8,32,21
373,17,25,9,33,41,49,1,57,18,19
384,25,17,33,41,9,28,20,36,1,44
389,64,24,56,23,63,32,16,8,31,40
398,17,25,33,9,41,1,19,18,27,28
418,41,33,25,49,17,9,1,57,3,11
420,41,49,33,25,57,17,36,35,21,30
426,41,33,25,49,17,27,57,9,35,26
432,33,25,17,41,9,1,49,57,10,34
433,33,25,41,17,9,49,1,57,42,35
441,53,52,61,54,60,62,55,59,63,44
449,41,33,49,25,57,17,9,35,30,42
451,33,41,49,25,17,57,9,1,34,42
463,33,25,41,17,49,9,57,1,26,34
464,41,49,33,25,57,60,17,35,54,53
482,54,62,61,53,55,63,60,52,59,56
505,17,25,33,9,41,1,19,18,27,20
519,54,61,53,62,55,52,60,63,59,56
529,17,25,33,9,41,1,61,18,53,26
547,23,15,22,7,31,30,24,16,32,8
548,41,33,49,25,17,57,9,35,1,34
569,41,33,25,49,17,57,9,34,1,28
579,25,33,17,41,9,28,49,29,21,20
592,49,57,41,33,35,42,43,50,34,58
603,53,61,52,54,60,62,59,55,51,63
632,41,33,49,25,17,54,53,57,9,52
638,22,23,15,14,30,7,54,6,53,21
653,33,25,41,17,49,9,1,57,26,28
659,41,33,25,49,17,42,35,57,34,43
661,21,22,29,14,13,30,23,6,5,15
669,17,25,41,33,49,9,22,57,1,14
702,25,33,17,41,9,49,1,34,57,26
703,23,22,15,7,31,30,24,16,14,8
719,30,22,21,23,29,24,15,28,31,16
727,17,25,33,9,41,1,28,20,18,19
732,17,25,21,33,29,30,22,9,41,28
746,17,25,9,33,1,41,18,10,26,19
750,17,25,9,33,1,41,49,18,10,57
751,9,17,25,1,12,33,4,13,5,3
764,9,17,25,1,33,13,12,5,4,41
765,49,57,41,33,25,50,54,42,52,59
784,41,33,25,49,17,57,9,27,34,26
820,17,25,33,9,41,1,49,14,34,6
822,52,36,49,44,53,57,41,28,54,45
827,17,25,33,9,41,1,18,49,26,19
848,23,15,24,16,7,32,31,8,22,30
850,33,25,17,41,9,1,49,18,26,28
