,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
2,11,12,3,19,10,13,18,2,4,20
8,33,41,25,49,17,57,9,1,34,42
31,53,54,52,55,56,61,45,51,60,44
32,1,9,17,25,33,41,49,57,2,10
43,30,29,31,32,28,38,22,21,37,39
48,20,21,19,22,28,12,23,27,11,29
74,1,9,17,25,33,41,49,57,2,10
76,1,9,17,25,33,41,49,57,2,10
78,7,8,6,5,4,15,14,16,13,12
88,49,41,57,33,25,17,9,1,50,42
98,60,61,59,62,52,63,51,53,54,64
112,50,42,58,51,49,43,59,41,57,34
117,60,61,59,62,52,63,51,53,54,64
118,39,40,38,37,36,47,31,46,30,48
124,49,41,57,33,25,17,9,1,50,42
127,11,12,3,19,10,13,18,2,4,20
150,36,37,35,38,44,28,39,43,27,45
153,53,54,52,55,56,61,45,51,60,44
181,7,8,6,5,4,15,14,16,13,12
198,30,29,31,32,28,38,22,21,37,39
208,5,6,4,7,8,13,3,12,14,15
215,51,52,59,43,50,53,58,42,60,44
218,20,21,19,22,28,12,23,27,11,29
224,1,9,17,25,33,41,49,57,2,10
276,6,5,7,8,4,14,13,15,16,12
280,60,61,59,62,52,63,51,53,54,64
290,4,5,3,6,12,7,11,13,14,8
296,53,54,52,55,56,61,45,51,60,44
313,1,9,17,25,33,41,49,57,2,10
327,29,30,28,31,32,21,37,27,20,36
328,53,54,52,55,56,61,45,51,60,44
354,11,12,3,19,10,13,18,2,4,20
369,11,12,3,19,10,13,18,2,4,20
374,33,41,25,49,17,57,9,1,34,42
378,34,26,42,35,33,43,27,41,25,50
381,60,61,59,62,52,63,51,53,54,64
386,54,53,55,56,52,62,46,61,45,63
416,49,41,57,33,25,17,9,1,50,42
423,1,9,17,25,33,41,49,57,2,10
425,53,54,52,55,56,61,45,51,60,44
437,59,60,51,58,61,50,52,62,53,42
440,62,61,63,64,60,54,53,55,56,52
442,59,60,51,58,61,50,52,62,53,42
443,54,53,55,56,52,62,46,61,45,63
453,3,4,11,2,5,10,12,6,13,18
470,7,8,6,5,4,15,14,16,13,12
494,29,30,28,31,32,21,37,27,20,36
507,60,61,59,62,52,63,51,53,54,64
509,33,41,25,49,17,57,9,1,34,42
514,3,4,11,2,5,10,12,6,13,18
524,51,52,59,43,50,53,58,42,60,44
526,34,26,42,35,33,43,27,41,25,50
544,5,6,4,7,8,13,3,12,14,15
559,53,54,52,55,56,61,45,51,60,44
565,54,53,55,56,52,62,46,61,45,63
570,3,4,11,2,5,10,12,6,13,18
571,39,40,38,37,36,47,31,46,30,48
573,30,29,31,32,28,38,22,21,37,39
574,49,41,57,33,25,17,9,1,50,42
577,3,4,11,2,5,10,12,6,13,18
578,34,26,42,35,33,43,27,41,25,50
582,6,5,7,8,4,14,13,15,16,12
595,3,4,11,2,5,10,12,6,13,18
620,11,12,3,19,10,13,18,2,4,20
624,59,60,51,58,61,50,52,62,53,42
625,49,41,57,33,25,17,9,1,50,42
629,21,22,20,23,24,29,13,19,28,12
637,21,22,20,23,24,29,13,19,28,12
643,6,5,7,8,4,14,13,15,16,12
644,47,48,46,45,44,39,55,54,38,56
651,54,53,55,56,52,62,46,61,45,63
652,3,4,11,2,5,10,12,6,13,18
660,4,5,3,6,12,7,11,13,14,8
668,7,8,6,5,4,15,14,16,13,12
713,53,54,52,55,56,61,45,51,60,44
743,53,54,52,55,56,61,45,51,60,44
767,39,40,38,37,36,47,31,46,30,48
771,47,48,46,45,44,39,55,54,38,56
780,49,41,57,33,25,17,9,1,50,42
789,3,4,11,2,5,10,12,6,13,18
790,3,4,11,2,5,10,12,6,13,18
791,62,61,63,64,60,54,53,55,56,52
811,37,38,36,39,40,45,29,35,44,28
824,53,54,52,55,56,61,45,51,60,44
838,21,22,20,23,24,29,13,19,28,12
