,EVE1,WNT11,APLNRB,TA,MIXL1,NOTO,ADMP,FOXD5,OSR1,SP5L
,VENT,BMP4,CST3,HES6,BMP7A,GATA5,SEBOX,CHD,AXIN2,CDX4
33,20,21,19,22,28,12,23,27,11,29
54,29,30,28,31,32,21,37,27,20,36
75,30,29,31,32,28,38,22,21,37,39
84,53,54,52,55,56,61,45,51,60,44
86,21,22,20,23,24,29,13,19,28,12
90,30,29,31,32,28,38,22,21,37,39
91,1,9,17,25,33,41,49,57,2,10
95,11,12,3,19,10,13,18,2,4,20
119,53,54,52,55,56,61,45,51,60,44
122,50,42,58,51,49,43,59,41,57,34
133,3,4,11,2,5,10,12,6,13,18
143,7,8,6,5,4,15,14,16,13,12
155,39,40,38,37,36,47,31,46,30,48
162,49,41,57,33,25,17,9,1,50,42
179,33,41,25,49,17,57,9,1,34,42
200,21,22,20,23,24,29,13,19,28,12
206,39,40,38,37,36,47,31,46,30,48
209,33,41,25,49,17,57,9,1,34,42
216,11,12,3,19,10,13,18,2,4,20
236,30,29,31,32,28,38,22,21,37,39
246,38,37,39,40,36,30,46,29,45,31
251,63,64,62,61,60,55,54,56,53,52
254,30,29,31,32,28,38,22,21,37,39
259,3,4,11,2,5,10,12,6,13,18
267,21,22,20,23,24,29,13,19,28,12
284,30,29,31,32,28,38,22,21,37,39
295,38,37,39,40,36,30,46,29,45,31
302,59,60,51,58,61,50,52,62,53,42
310,49,41,57,33,25,17,9,1,50,42
318,37,38,36,39,40,45,29,35,44,28
325,21,22,20,23,24,29,13,19,28,12
346,59,60,51,58,61,50,52,62,53,42
363,60,61,59,62,52,63,51,53,54,64
367,53,54,52,55,56,61,45,51,60,44
377,39,40,38,37,36,47,31,46,30,48
385,7,8,6,5,4,15,14,16,13,12
391,59,60,51,58,61,50,52,62,53,42
392,49,41,57,33,25,17,9,1,50,42
402,21,22,20,23,24,29,13,19,28,12
407,55,56,54,53,52,47,63,46,62,48
412,20,21,19,22,28,12,23,27,11,29
413,49,41,57,33,25,17,9,1,50,42
430,5,6,4,7,8,13,3,12,14,15
461,30,29,31,32,28,38,22,21,37,39
462,3,4,11,2,5,10,12,6,13,18
476,1,9,17,25,33,41,49,57,2,10
477,59,60,51,58,61,50,52,62,53,42
489,11,12,3,19,10,13,18,2,4,20
490,35,36,43,27,34,37,26,42,44,28
496,5,6,4,7,8,13,3,12,14,15
513,51,52,59,43,50,53,58,42,60,44
518,3,4,11,2,5,10,12,6,13,18
533,5,6,4,7,8,13,3,12,14,15
541,3,4,11,2,5,10,12,6,13,18
545,60,61,59,62,52,63,51,53,54,64
546,6,5,7,8,4,14,13,15,16,12
553,51,52,59,43,50,53,58,42,60,44
580,55,56,54,53,52,47,63,46,62,48
587,52,53,51,54,60,44,55,59,43,61
590,3,4,11,2,5,10,12,6,13,18
602,3,4,11,2,5,10,12,6,13,18
617,49,41,57,33,25,17,9,1,50,42
