id,cell
1,zf1_p7_S31_umi
2,zf2_dis_S1238_umi
3,zf1_p5_S91_umi
4,zf2_dis_S322_umi
5,zf2_dis_S1179_umi
6,zf1_p6_S44_umi
7,zf1_p5_S61_umi
8,zf1_p6_S56_umi
9,zf1_p5_S66_umi
10,zf1_p5_S69_umi
11,zf1_p8_S11_umi
12,zf2_dis_S306_umi
13,zf2_dis_S1217_umi
14,zf1_p8_S77_umi
15,zf2_dis_S1275_umi
16,zf2_dis_S1268_umi
17,zf1_p8_S93_umi
18,zf1_p7_S59_umi
19,zf2_dis_S1343_umi
20,zf2_dis_S1391_umi
21,zf1_p7_S54_umi
22,zf1_p7_S48_umi
23,zf1_p5_S33_umi
24,zf2_dis_S1213_umi
25,zf2_dis_S1395_umi
26,zf1_p6_S55_umi
27,zf2_dis_S1162_umi
28,zf2_dis_S1163_umi
29,zf1_p7_S66_umi
30,zf1_p5_S58_umi
31,zf2_dis_S1281_umi
32,zf1_p8_S87_umi
33,zf2_dis_S214_umi
34,zf1_p8_S32_umi
35,zf1_p8_S91_umi
36,zf1_p7_S9_umi
37,zf1_p6_S14_umi
38,zf1_p7_S91_umi
39,zf2_dis_S1315_umi
40,zf2_dis_S1202_umi
41,zf1_p5_S10_umi
42,zf2_dis_S1159_umi
43,zf1_p6_S77_umi
44,zf2_dis_S240_umi
45,zf2_dis_S301_umi
46,zf2_dis_S289_umi
47,zf1_p7_S23_umi
48,zf2_dis_S230_umi
49,zf1_p7_S57_umi
50,zf2_dis_S285_umi
51,zf1_p5_S53_umi
52,zf1_p6_S58_umi
53,zf1_p5_S44_umi
54,zf1_p8_S58_umi
55,zf1_p8_S25_umi
56,zf1_p8_S22_umi
57,zf1_p6_S8_umi
58,zf1_p7_S63_umi
59,zf1_p7_S46_umi
60,zf2_dis_S292_umi
61,zf1_p8_S96_umi
62,zf2_dis_S1311_umi
63,zf2_dis_S220_umi
64,zf1_p6_S29_umi
65,zf1_p6_S69_umi
66,zf1_p5_S2_umi
67,zf2_dis_S1193_umi
68,zf2_dis_S1186_umi
69,zf1_p6_S57_umi
70,zf1_p6_S91_umi
71,zf1_p5_S56_umi
72,zf1_p7_S60_umi
73,zf2_dis_S1341_umi
74,zf1_p8_S26_umi
75,zf1_p8_S80_umi
76,zf2_dis_S1342_umi
77,zf1_p7_S47_umi
78,zf2_dis_S1304_umi
79,zf1_p8_S37_umi
80,zf2_dis_S258_umi
81,zf2_dis_S1273_umi
82,zf2_dis_S1373_umi
83,zf2_dis_S1381_umi
84,zf1_p5_S54_umi
85,zf1_p8_S17_umi
86,zf1_p8_S61_umi
87,zf1_p5_S4_umi
88,zf1_p7_S20_umi
89,zf2_dis_S1260_umi
90,zf1_p8_S43_umi
91,zf1_p8_S84_umi
92,zf1_p7_S16_umi
93,zf1_p8_S29_umi
94,zf1_p7_S39_umi
95,zf1_p5_S78_umi
96,zf1_p6_S40_umi
97,zf2_dis_S1291_umi
98,zf1_p6_S11_umi
99,zf2_dis_S1201_umi
100,zf2_dis_S339_umi
101,zf2_dis_S1239_umi
102,zf1_p8_S23_umi
103,zf1_p8_S50_umi
104,zf1_p8_S70_umi
105,zf2_dis_S1251_umi
106,zf1_p7_S21_umi
107,zf1_p8_S35_umi
108,zf1_p5_S19_umi
109,zf1_p8_S63_umi
110,zf1_p6_S96_umi
111,zf1_p8_S45_umi
112,zf1_p8_S15_umi
113,zf2_dis_S1188_umi
114,zf1_p5_S32_umi
115,zf1_p7_S69_umi
116,zf1_p7_S56_umi
117,zf2_dis_S1205_umi
118,zf2_dis_S1316_umi
119,zf2_dis_S1330_umi
120,zf2_dis_S1292_umi
121,zf1_p8_S3_umi
122,zf1_p5_S92_umi
123,zf2_dis_S1166_umi
124,zf1_p5_S52_umi
125,zf2_dis_S1154_umi
126,zf1_p8_S78_umi
127,zf2_dis_S1235_umi
128,zf1_p5_S35_umi
129,zf2_dis_S291_umi
130,zf1_p6_S18_umi
131,zf1_p7_S19_umi
132,zf1_p8_S69_umi
133,zf2_dis_S1183_umi
134,zf1_p7_S18_umi
135,zf2_dis_S1168_umi
136,zf1_p8_S49_umi
137,zf2_dis_S296_umi
138,zf1_p5_S51_umi
139,zf2_dis_S1247_umi
140,zf2_dis_S1319_umi
141,zf1_p7_S77_umi
142,zf1_p7_S6_umi
143,zf1_p7_S27_umi
144,zf1_p6_S50_umi
145,zf1_p5_S79_umi
146,zf2_dis_S218_umi
147,zf2_dis_S1210_umi
148,zf1_p6_S45_umi
149,zf2_dis_S1176_umi
150,zf1_p8_S54_umi
151,zf2_dis_S233_umi
152,zf1_p7_S49_umi
153,zf2_dis_S1368_umi
154,zf2_dis_S212_umi
155,zf1_p6_S38_umi
156,zf1_p8_S88_umi
157,zf2_dis_S1289_umi
158,zf1_p5_S43_umi
159,zf2_dis_S288_umi
160,zf2_dis_S1167_umi
161,zf2_dis_S1328_umi
162,zf1_p5_S31_umi
163,zf2_dis_S1305_umi
164,zf2_dis_S1194_umi
165,zf1_p7_S61_umi
166,zf2_dis_S1398_umi
167,zf1_p7_S15_umi
168,zf2_dis_S1320_umi
169,zf2_dis_S1323_umi
170,zf1_p7_S8_umi
171,zf2_dis_S1267_umi
172,zf2_dis_S1321_umi
173,zf1_p7_S42_umi
174,zf1_p5_S49_umi
175,zf2_dis_S1264_umi
176,zf1_p8_S94_umi
177,zf1_p5_S6_umi
178,zf1_p5_S7_umi
179,zf1_p6_S19_umi
180,zf2_dis_S1222_umi
181,zf2_dis_S1340_umi
182,zf1_p6_S68_umi
183,zf1_p8_S66_umi
184,zf2_dis_S1378_umi
185,zf1_p8_S51_umi
186,zf1_p8_S21_umi
187,zf1_p7_S13_umi
188,zf1_p7_S40_umi
189,zf1_p8_S4_umi
190,zf1_p8_S85_umi
191,zf2_dis_S1221_umi
192,zf2_dis_S1171_umi
193,zf2_dis_S1197_umi
194,zf1_p7_S84_umi
195,zf1_p6_S32_umi
196,zf1_p8_S14_umi
197,zf2_dis_S280_umi
198,zf2_dis_S1156_umi
199,zf2_dis_S318_umi
200,zf1_p8_S19_umi
201,zf1_p6_S13_umi
202,zf1_p7_S34_umi
203,zf2_dis_S1329_umi
204,zf1_p6_S12_umi
205,zf1_p8_S10_umi
206,zf1_p7_S67_umi
207,zf1_p6_S47_umi
208,zf1_p6_S34_umi
209,zf1_p8_S36_umi
210,zf2_dis_S311_umi
211,zf2_dis_S205_umi
212,zf2_dis_S1214_umi
213,zf2_dis_S1261_umi
214,zf1_p6_S53_umi
215,zf2_dis_S330_umi
216,zf1_p6_S21_umi
217,zf2_dis_S1280_umi
218,zf2_dis_S1324_umi
219,zf1_p5_S80_umi
220,zf2_dis_S1169_umi
221,zf2_dis_S1170_umi
222,zf1_p5_S34_umi
223,zf2_dis_S1252_umi
224,zf1_p6_S79_umi
225,zf1_p6_S51_umi
226,zf2_dis_S1245_umi
227,zf1_p7_S4_umi
228,zf1_p7_S62_umi
229,zf2_dis_S1234_umi
230,zf2_dis_S1195_umi
231,zf1_p7_S76_umi
232,zf1_p7_S71_umi
233,zf2_dis_S1258_umi
234,zf2_dis_S245_umi
235,zf1_p6_S22_umi
236,zf2_dis_S1211_umi
237,zf1_p7_S95_umi
238,zf1_p8_S95_umi
239,zf2_dis_S1318_umi
240,zf2_dis_S338_umi
241,zf1_p8_S52_umi
242,zf1_p6_S10_umi
243,zf1_p8_S16_umi
244,zf1_p5_S87_umi
245,zf2_dis_S317_umi
