"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"
"1"	7	15	23	8	16	24	31	32	39	40
"2"	19	25	26	27	11	3	17	18	4	12
"3"	60	59	43	52	61	54	35	51	36	44
"4"	40	8	16	24	32	7	15	23	39	48
"5"	8	16	24	32	7	15	23	40	31	39
"6"	40	48	8	16	24	32	7	15	23	39
"7"	7	15	23	8	16	24	31	32	21	39
"8"	3	1	2	9	10	4	12	17	18	11
"9"	33	34	35	17	18	28	36	1	2	9
"10"	52	45	46	38	59	54	53	61	47	29
"11"	35	41	43	27	33	34	42	28	36	19
"12"	43	41	61	35	51	28	36	44	60	19
"13"	5	13	6	14	31	21	22	7	15	23
"14"	7	15	23	39	40	8	16	24	31	32
"15"	54	53	61	56	60	55	42	59	62	43
"16"	36	34	35	42	17	18	28	44	43	41
"17"	3	11	4	12	1	2	9	10	19	25
"18"	28	20	4	12	52	49	57	17	18	36
"19"	17	18	1	2	9	10	19	25	26	11
"20"	21	29	28	5	13	3	19	20	27	4
"21"	54	62	63	64	56	17	18	28	55	53
"22"	17	18	1	2	9	10	19	20	25	26
"23"	29	28	36	21	20	37	5	13	4	12
"24"	61	59	60	53	50	58	54	62	52	63
"25"	59	60	52	49	57	51	36	44	19	20
"26"	36	21	37	34	35	3	5	13	42	4
"27"	30	22	6	14	21	7	15	23	29	5
"28"	21	5	13	29	28	36	22	6	14	20
"29"	1	2	9	10	11	17	18	3	19	25
"30"	1	2	9	10	11	5	13	33	3	41
"31"	30	29	22	38	21	6	14	37	33	5
"32"	17	18	28	36	1	2	9	10	19	20
"33"	28	36	20	52	35	4	12	44	19	27
"34"	1	2	9	10	25	26	27	33	11	34
"35"	33	41	17	18	1	2	9	10	19	20
"36"	4	12	20	3	17	18	28	36	1	2
"37"	28	29	19	20	27	21	11	35	3	5
"38"	21	30	22	29	6	14	5	13	37	38
"39"	50	58	59	52	49	57	51	42	60	53
"40"	62	51	63	53	61	59	64	56	55	43
"41"	28	36	41	3	19	20	27	30	35	43
"42"	1	2	9	10	11	3	4	12	17	18
"43"	17	18	28	1	2	9	10	19	20	25
"44"	54	56	55	30	46	22	38	6	14	62
"45"	49	57	51	59	27	50	58	43	33	41
"46"	49	57	34	35	36	42	50	58	43	33
"47"	30	35	22	43	6	14	28	36	3	52
"48"	29	21	45	28	36	44	42	37	20	30
"49"	52	53	41	28	36	44	20	42	59	54
"50"	7	15	23	8	16	24	31	32	39	40
"51"	62	49	57	63	64	60	53	61	50	58
"52"	50	58	59	49	57	51	42	34	35	43
"53"	17	18	33	1	2	9	10	19	25	26
"54"	41	43	27	33	35	42	19	20	25	26
"55"	51	49	57	60	59	43	50	58	52	35
"56"	1	2	9	10	11	3	17	18	28	5
"57"	17	18	28	3	1	2	9	10	19	20
"58"	17	18	1	2	9	10	19	25	26	33
"59"	17	18	28	36	1	2	9	10	19	20
"60"	49	57	17	18	28	36	44	50	58	1
"61"	7	15	23	39	40	8	16	24	31	32
"62"	41	17	18	28	36	1	2	9	10	19
"63"	63	64	56	55	47	48	62	7	15	23
"64"	3	19	20	27	4	12	11	17	18	28
"65"	59	52	41	51	44	60	42	49	57	43
"66"	17	18	36	1	2	9	10	19	20	25
"67"	11	3	4	12	1	2	9	10	19	20
"68"	45	37	47	48	42	7	15	23	39	40
"69"	40	36	8	16	24	32	48	1	2	9
"70"	42	41	34	35	43	17	18	28	36	1
"71"	41	42	43	33	34	35	17	18	28	36
"72"	64	56	63	55	50	58	62	49	57	42
"73"	52	59	41	44	43	54	51	53	35	42
"74"	21	5	13	22	6	14	29	7	15	23
"75"	21	28	20	4	12	29	5	13	36	3
"76"	49	57	42	17	18	28	36	44	50	58
"77"	17	18	28	1	2	9	10	19	20	25
"78"	7	15	23	8	16	24	31	32	47	48
"79"	41	3	17	18	28	4	12	1	2	9
"80"	7	15	23	39	40	8	16	24	31	32
"81"	55	63	62	64	56	61	54	59	53	51
"82"	42	41	34	35	43	36	33	21	30	37
"83"	51	60	59	52	44	53	61	43	49	57
"84"	41	42	30	46	22	38	43	6	14	54
"85"	49	57	50	58	45	37	51	42	59	43
"86"	28	36	42	41	20	4	12	30	34	35
"87"	59	60	51	52	50	58	44	43	49	57
"88"	49	57	42	43	50	58	34	35	41	17
"89"	33	34	17	18	41	1	2	9	10	19
"90"	31	7	15	23	39	30	8	16	24	32
"91"	17	18	28	41	1	2	9	10	19	20
"92"	11	3	4	12	1	2	9	10	19	17
"93"	36	52	59	35	43	28	44	60	4	12
"94"	47	48	7	15	23	39	40	8	16	24
"95"	28	36	19	20	27	35	11	17	18	3
"96"	7	15	23	8	16	24	31	32	21	22
"97"	3	33	4	12	1	2	9	10	11	34
"98"	54	38	30	46	37	29	22	53	61	21
"99"	20	28	36	19	27	4	12	11	37	17
"100"	54	56	55	53	61	41	30	46	22	38
"101"	63	64	56	55	61	54	62	60	53	50
"102"	7	15	23	47	48	8	16	24	31	32
"103"	42	34	35	3	41	17	18	28	36	43
"104"	11	3	4	12	1	2	9	10	19	20
"105"	53	61	54	62	63	64	56	55	49	57
"106"	21	29	5	13	30	28	22	7	15	23
"107"	51	49	57	59	43	50	58	41	35	27
"108"	21	5	13	31	30	29	22	53	17	18
"109"	28	36	20	17	18	44	4	12	29	1
"110"	49	57	25	26	27	50	58	41	17	18
"111"	59	43	52	51	35	49	57	36	44	60
"112"	34	35	33	25	26	27	42	41	43	17
"113"	33	29	41	34	35	21	37	17	18	28
"114"	42	41	43	33	34	35	17	18	36	44
"115"	21	35	3	5	13	4	12	29	28	36
"116"	49	57	50	58	51	34	35	42	59	43
"117"	59	60	51	52	49	57	35	36	44	50
"118"	30	22	38	21	45	6	14	36	44	37
